Species_name	Reference
Octopus vulgaris	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Oreochromis niloticus	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Oreochromis niloticus (juvenile)	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Osteobrama cotio cotio	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Ostrea edulis	"Erkan, Nuray, Özkan Özden, and Şafak Ulusoy. ""Seasonal micro-and macro-mineral profile and proximate composition of oyster (Ostrea edulis) analyzed by ICP-MS."" Food analytical methods 4.1 (2011): 35-40."
Palinurus vulgaris	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Pampus argenteus	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Parapenaeus longirostris	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Platycephalus indicus	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Psetta maxima	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Pseudambassis ranga	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Puntius sophore	"Mahanty, A., Ganguly, S., Verma, A., Sahoo, S., Mitra, P., Paria, P., Sharma, A.P., Singh, B.K. and Mohanty, B.P., 2014. Nutrient profile of small indigenous fish Puntius sophore: proximate composition, amino acid, fatty acid and micronutrient profiles. National Academy Science Letters, 37(1), pp.39-44."
Puntius ticto	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Rapana venosa	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Scomberomorus guttatus	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Scorpaena porcus	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Scorpena scrofa	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Scyllarides latus	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Sepia officinalis	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Sillaginopsis panijus	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Stolephorus tri	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Trachinus draco	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Trigla lucerna	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Xenontedon cancila	"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133."
Zeus faber	"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469."
Abramis brama	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Aluterus monoceros	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Arius madagascariensis	"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440"
Auxis thazard thazard	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Brevoortia aurea	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Caranx crysos	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Carassius carassius	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Chaenocephalus aceratus	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Chondrostoma nasus	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Clupea harengus pallasi	"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700"
Cynoscion jamaicensis	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Cyprinus carpio	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Dasyatis brevis	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Eleutheronema tetradactylum	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Gadus morhua maris-albi	"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700"
Gasterochisma melampus	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Isurus oxyrinchus	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Lamna nasus	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Lampris guttatus	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Lepidopsetta bilineata	"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700"
Leuciscus cephalus	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Leuciscus idus	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Lucioperca lucioperca	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Megalaspis cordyla	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Micropogonias furnieri	"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
Mugil liza	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Mycteroperca acutirostris	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Notothenia neglecta	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Opisthonema oglinum	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Oreochromis niloticus	"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
Pampus argenteus	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Parastromateus niger	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Perca fluviatilis	"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229"
Plotosus lineatus	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Pomatomus saltatrix	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Prochilodus brevis	"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
Rastrelliger kanagurta	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Sarda sarda	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Sardina pilchardus	"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301"
Sardinella brachysoma	"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
Sardinella brasiliensis	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Sardinella fimbriata	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Scomber colias	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Scomberomorus commerson	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Selaroides leptolepis	"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60"
Silurus glanis	"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76"
Spondyliosoma cantharus	"Rodríguez C., Acosta C., Badía P., Cejas J.R., Santamaría F.J., Lorenzo A. (2004). Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish. Comparative Biochemistry and Physiology, PartB 139:619-629"
Thunnus alalunga	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Thunnus thynnus	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Trachurus trachurus	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Trichiurus lepturus	"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547"
Xiphias gladius	"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54"
Xiphopenaeus kroyeri	"Luzia L.A., Sampaio G.R., Castellucci C.M.N., Torres E.A.F.S. (2003). The influence of season on the lipid profiles of five commercially important species of Brazilian fish. Food Chemistry 83: 93 - 97"
Abramis brama	"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
Acanthurus lineatus	"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
Alepocephalus agassizii	"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
Alepocephalus bairdii	"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
Anadara grandis	"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
Anchoa hepsetus	"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
Arctica islandica	"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary)."
Arripis trutta	Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249
Aspius aspius	"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
Balistes capriscus	"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
Bivalvia	"Ifon E.T., Umoh I.B. (1987). Biochemical and nutritional evaluation of Egreria radiata (Clam), a delicacy of some riverine peasant populations in Nigeria. Food Chemistry 24: 21-27"
Callinectes sapidus	"Gökodlu N., Yerlikaya P. (2003). Determination of proximate composition and mineral contents of blue crab (Callinectes sapidus) and swim crab (Portunus pelagicus) caught off the Gulf of Antalya. Food Chemistry 80: 495-498"
Callorhinchus capensis	Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249
Caranx ignobilis	"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200"
Carassius carassius	"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
Carcinus maenas	"Skonberg D.I., Perkins B.L. (2002). Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat. Food Chemistry 77: 401-404"
Catla catla	"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200"
Catostomus commersonii	"Mai J., Shetty J.K., Kan T.-M., Kinsella J.E. (1980). protein and amino acid composition of select freshwater fish. J. Agric. Food Chem. 28(4): 884-885"
Caulolatilus intermedius	"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
Chaenocephalus aceratus	Oehlenschläger J. (1991). Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae. Food Chemistry 40: 159-167
Chamelea gallina	"Colakoglu F.A., Ormanci H.B., Berik N., Kunili I.E., Colakoglu S. (2011). Proximate and elemental composition of chamelea gallina from the southern coast of the Marmara Sea (Turkey). Biol Trace Elem Res 1-9 (article in press)"
Champsocephalus gunnari	Oehlenschläger J. (1991). Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae. Food Chemistry 40: 159-167
Channa marulius	"Chandrashekar K. Deosthale Y.G. (1993). Proximate composition, amino acid, mineral, and trace element content of the edible muscle of 20 Indian fish species. Journal of Food Composition and Analysis 6: 195-200"
Channa striata	"Wimalasena S., Jayasuriya M.N.S. (1996). Nutrient analysis of some fresh water fish. J. Natn. Sci. Coun. Sri Lanka 24(1): 21-26"
Channa striata	"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16"
Chirocentrus dorab	"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
Chondrostoma nasus	"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
Chrysophrys auratus	"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
Clarias gariepinus	"Osibona A., Kusemiju K., Akande G.R. (2009). Fatty acid composition and amino acid profile of two freshwater species, african catfish (Clarias gariepinus) and tilapia (Tilapia zillii). African Journal of Food Agriculture Nutrition and Development 9(1): 608-621"
Clarias gariepinus	"Ersoy B., Özeren A. (2009). The effect of cooking methods on mineral and vitamin contents of African catfish. Food Chemistry 115: 419-422"
Clarias lazera	"Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314"
Clarias macrocephalus	"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16"
Clupea fimbrata	"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
Clupeonella cultriventris caspia	"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
Coregonus clupeaformis	"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566"
Corvina nigra	"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
Crassostrea gigas	"Gordon D.T., Roberts G.L., Heintz D.M. (1979). thiamin, riboflavin and niacin content and stability in pacific coast seafoods. J. Agric. Food Chem. 27(3): 483-490"
Crassostrea rhizophorae	"Carvalho A.F.U., Farias D.F., Barroso C.X., Sombra C.M.L., Silvino A.S., Menezes M.O.T., Soares M.O., Fernandes D.A.O., Gouveia S.T. (2007). Nutritive value of three organisms from mangrove ecosystem: Ucides cordatus (Linnaeus, 1763), Mytella sp. (Soot-Ryen, 1955) and Crassostrea rhizophorae (Guilding, 1828). Braz. J. Biol. 67(4): 787-788"
Crassostrea virginica	"Nettleton J.A., Exler J. (1992). Nutrients in wild and farmed fish and shellfish. Journal of Food Science 57(2): 257-260"
Cynoglossus arel	"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
Cynoscion arenarius	"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
Cynoscion nothus	"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256"
Cyprinus carpio	"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381"
Cyprinus carpio	"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
Cyprinus carpio	"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
Cyprinus carpio	"Hadjinikolova L. (2008). Investigations on the chemical composition of carp (Cyprinus carpio L.), bighead carp (Aristichthys nobilis Rich.) and pike (Esox Lusius L.) during different stagees of individual growth. Bulgarian Journal of Agricultural Science 14(2): 121-126"
Deania calcea	"Økland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443"
Dentex maroccanus	"Koubaa A., Abdelmouleh A., Bouain A., Mihoubi N.B. (2010). Experimental and statistical investigations of the global chemical composition of six trawling fish of the Gulf of Gabés (Mediterranean Sea). Journal of the Marine Biological Association of the United Kingdom. 1-7 (article in press)."
Dicentrarchus labrax	"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273"
Diplodus sargus	"Saoud I.P., Batal M., Ghanawi J., Lebbos N. (2008). Seasonal evaluation of nutritional benefits of two fish species in the eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 538-542"
Dosidicus gigas	"Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294"
Eleutheronema tetradactylum	"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148"
