species_name,accepted_name,avg_length,length,slmax,length_source,feedingtype,foodtroph,feeding_habit,ref_info,bibliography,biblioid2,seanuts_id2,food_item_id_2,food_name_clean,database,nutrient_ref,genus_species,subgroup,prot_g,protcnt_g,protein_g,fat_g,fapun3,fapun_all_g,epa,dha,ca_mg,zn_mg,fe_mg,tl,length_from_study,length_source,abs_lat,latitude,slmax_nov28,slmax_source,lwa,lwb,country_region,isscaap_cat,isscaap,season,asfis_scientific_name_fishbase_swap_in_progress,season_x,season_y,herbivory2,herbivoryref,,feedingtyperef,diettroph,dietsetroph,,foodsetroph,isotroph,isosetroph,ecotroph,ecosetroph,stockcode,speccode_x,speccode_y,genus,species,fbname,subfamily,demerspelag,anacat,depthrangeshallow,depthrangedeep,ltypemaxm,ltypemaxf,ltypecomm,ltypecomf,commonlength,commonlengthf,commonlengthref,weight,weightfemale,maxweightref,sp2000_hierarchycode,reference,fresh,marine,brackishwater,brack,lengthfemale,maxlengthref,notes,weight_from_study,mar_fresh,wild_farmed,body_parts_included_excluded,included_excluded,x20,vit_a_iu,k_mg,mg_mg,x32
Macrobrachium rosenbergii,Macrobrachium macrobrachion,,,7.8,http://www.sealifebase.org/summary/Macrobrachium-macrobrachion.html,,,,"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",NA,NA,1682,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,0.099,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,average,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. Bragagnolo and D. B. Rodriguez-Amaya, Total Lipid, Cholesterol, and Fatty Acids of Farmed Freshwater Prawn (Macrobrachium rosenbergii) and Wild Marine Shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri), JOURNAL OF FOOD COMPOSITION AND ANALYSIS (2001) 14, 359d369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrobracium spp.,Macrobrachium macrobrachion,,,7.8,http://www.sealifebase.org/summary/Macrobrachium-macrobrachion.html,,,,"Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437","Roos N., Leth T., Jakobsen J., Thilsted S.H. (2002). High vitamin A content in some small indigenous fish species in Bangladesh: perspectives for food-based strategies to reduce vitamin A deficiency. International Journal of Food Science and Nutrition 53:425-437",fi199,693,902242,River_prawn_edible_parts_eyes_excluded_raw,NA,NA,NA NA,crustacean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4333,24.4333,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,"Sep, Oct",NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maja brachydactyla,,,,22,http://www.sealifebase.org/summary/Maja-brachydactyla.html,mainly animals (troph. 2.8 and up),,hunting macrofauna (predator),"Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.","Marques A., Teixeira B., Barrento S., Anacleto P., Carvalho M.L., Nunes M.L. (2010). Chemical composition of Atlantic spider crab Maja brachydactyla: Human health implications. Journal of Food Compositon and Analysis 23: 230 - 237.",fi188,72,NA,NA,NA,NA,NA NA,crustacean,NA,15.7,NA,0.32,0.061833105,0.076747179,0.032505034,NA,78.7,6.28,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maja brachydactyla,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mastacembelus pancalus,,,,,,,,,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1958,NA,Guchi,NA,NA,NA,finfish,NA,NA,17.9,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Viscera<comma> fins,excluded,NA,78,NA,NA,NA
Mercenaria mercenaria,,,,13,http://www.sealifebase.org/summary/Mercenaria-mercenaria.html,mainly plants/detritus (troph. 2-2.19),,filtering plankton,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,1738,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,32.8,2.5,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,summer 1980,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthony, Jane E., et al. ""Yields, proximate composition and mineral content of finfish and shellfish."" Journal of Food Science 48.1 (1983): 313-314.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meretrix lusoria,,,,5,http://www.sealifebase.org/country/CountrySpeciesSummary.php?id=83776&c_Code=410,,,,"Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268","Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268",fi230,1620,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Meretrix lusoria,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metacarcinus magister,,,,,,,,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1495,NA,NA,NA,NA,NA NA,crustacean,19.3,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metacarcinus magister,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeopsis stridulans,,,,10,http://www.sealifebase.org/summary/Metapenaeopsis-stridulans.html,,,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1484,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metapenaeopsis stridulans,Mar,Mar,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeus dobsoni,,,,,,,,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1483,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metapenaeus dobsoni,Feb,Feb,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metapenaeus monoceros,,,,,,,,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1480,NA,NA,NA,NA,NA NA,crustacean,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Metapenaeus monoceros,Feb,Feb,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mullus barbatus,Mullus barbatus barbatus,,20,33.2,http://www.fishbase.org/summary/Mullus-barbatus+barbatus.html,mainly animals (troph. 2.8 and up),3.14,hunting macrofauna (predator),"Di Lena, G., Nevigato, T., Rampacci, M., Casini, I., Caproni, R. and Orban, E., 2016. Proximate composition and lipid profile of red mullet (Mullus barbatus) from two sites of the Tyrrhenian and Adriatic seas (Italy): a seasonal differentiation. Journal of Food Composition and Analysis, 45, pp.121-129.",NA,NA,2002,NA,NA,NA,NA,NA,finfish,NA,NA,18.6,0.96,253,316,61.2,166,NA,NA,NA,NA,20.6,NA,41.773541,NA,NA,NA,NA,NA,"the Central Tyrrhenian Sea (CT), coastline between Anzio and Fiumicino (Lazio)",NA,NA,"May-June 2009, 2012",NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"this paper also contains depth and water temperature data, if we want it we can go back for it",110,marine,wild,"gutted, trimmed, beheaded",excluded,NA,NA,NA,NA,NA
Mya spp,Mya arenaria,,10,,http://www.sealifebase.org/summary/Mya-arenaria.html,,,,"Fediuk et al, 2002",NA,NA,1806,NA,NA,CINE,"Fediuk et al, 2002",NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,.,NA,NA,NA,NA,NA,NA,come back,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myoxocephalus spp,,,,,,,,,"Fediuk et al, 2002",NA,NA,1807,NA,NA,CINE,"Fediuk et al, 2002",NA NA,finfish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,FishBase,NA,NA,NA,NA,NA,NA,come back,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus chilensis,,,,18,http://sealifebase.org/summary/Mytilus-chilensis.html,,,,"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",NA,NA,1712,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,60,1.37,2.88,NA,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,11/1/2000,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.S. Astorga-España, E.M. Rodríguez-Rodríguez, C. Díaz-Romero, Comparison of mineral and trace element concentrations in two molluscs from the Strait of Magellan (Chile) Journal of Food Composition and Analysis, 20 (3-4) (2007), pp. 273–279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus coruscus,,,,10,http://www.sealifebase.org/summary/Mytilus-coruscus.html,,,,"Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268","Watanabe F., Katsura H., Takenaka S., Enomoto T., Miyamoto E., Nakatsuka T., Nakano Y. (2001) Characterization of Viatmin B12 compounds from edibe shellfish, clam, oyster and mussel. International Journal of Food Sciences and Nutrition 52: 263 - 268",fi230,1609,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mytilus coruscus,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus edulis,,,,,,,,,"Kuhnlein &Soueida, 1992",NA,NA,1810,NA,NA,CINE,"Kuhnlein &Soueida, 1992",NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,85,1,15,NA,NA,WoRMS,NA,NA,NA,NA,NA,NA,come back,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mytilus galloprovincialis,,,,,,,,,"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",NA,NA,1709,NA,NA,NA,NA,NA NA,mollusc,NA,NA,10,1.4,NA,NA,NA,NA,40,2.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/1/2002,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A. Fuentes, I. Fernández-Segovia *, I. Escriche, J.A. Serra. Comparison of physico-chemical parameters and composition of mussels (Mytilus
galloprovincialis Lmk.) from different Spanish originsFood Chemistry 112 (2009) 295–302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nacella deaurata,,,,6.1,http://www.sealifebase.org/summary/Nacella-deaurata.html,,,grazing on aquatic plants,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,1721,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,83,0.85,55.1,NA,NA,NA,NA,-53.5,NA,NA,NA,NA,NA,NA,NA,9/1/2001,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M. S. Astorga España, E. M. Rodríguez Rodríguez & C. Díaz Romero (2005) Sodium, K, Ca, Mg, Fe, Cu, and Zn concentrations in molluscs from the Magellan Strait (Chile): Their contribution to dietary intake, International Journal of Food Sciences and Nutrition, 56:5, 337-347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Narcine bancroftii,,,45,,http://www.fishbase.org/summary/Narcine-bancroftii.html and https://en.wikipedia.org/wiki/Lesser_electric_ray#cite_note-elasmo-3,,3.2,,"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461","Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",fi155,1474,NA,NA,NA,NA,Narcine bancroftii,finfish,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Narcine bancroftii,Mar,Mar,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,7765,53905,53905,Narcine,bancroftii,Lesser electric ray,NA,demersal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nephrops norvegicus,,,,,,,,,"Özden, Ö. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",NA,NA,2019,NA,norway lobster,NA,NA,NA,crustacean,NA,NA,20.31,1.07,NA,NA,NA,NA,71.6,NA,5.20175,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aegean Sea,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fat and protein expressed in %, minerals expressed in mg/kg, and I've converted them to appropriate units",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octopodidae,,,,,,,,,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,fi195,1634,NA,NA,NA,NA,NA NA,mollusc,13.2,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Octopodidae,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Octopus vulgaris,,,,,,,,,"Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153","Lourenco H.M., Anacleto P., Afonso C., Ferraria V., Martins M.F., Carvalho M.L., Lino A.R., Nunes M.L. (2009). Elemental composition of cephalopods from Portuguese continental waters. Food Chemistry 113: 1146-1153",fi241,189,NA,NA,NA,NA,NA NA,mollusc,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1.77,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Octopus vulgaris,May-Sep,May-Sep,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ommastrephes bartramii,,,,45,http://www.sealifebase.org/summary/Ommastrephes-bartramii.html,mainly animals (troph. 2.8 and up),4.37,hunting macrofauna (predator),"Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294","Fu X.Y., Xue C.H., Miao B.C., Li Z.J., Zhang Y.Q., Wang Q. (2007). Effect of processing steps on physico - chemicalproperties of dried - seasoned squid. Food Chemistry 103: 287 - 294",fi194,1603,NA,NA,NA,NA,NA NA,mollusc,NA,20.0568,NA,0.5612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ommastrephes bartramii,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oncorhyncus spp,,,,,,,,,"Kuhnlein et al, 2002",NA,NA,1826,NA,NA,CINE,"Kuhnlein et al, 2002",NA NA,finfish,NA,NA,NA,5,NA,NA,NA,NA,6,0.5,0.9,NA,NA,.,NA,NA,NA,NA,NA,NA,come back,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orconectes limosus Raf,Orconectes limosus,,,,http://www.sealifebase.org/summary/Orconectes-limosus.html,,,,"Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304","Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304",fi228,833,901223,Spinycheek_crayfish_wild_male_meat_raw,NA,NA,NA NA,crustacean,NA,NA,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.116156,53.116156,NA,NA,NA,NA,NA,Freshwater crustaceans,NA,"Mar, Apr 2008",NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oreochromis niloticus (juvenile),Oreochromis niloticus,,,60,http://www.fishbase.ca/summary/2,mainly plants/detritus (troph. 2-2.19),2,browsing on substrate,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1993,NA,Majhari Tilapia,NA,NA,NA,finfish,NA,NA,19,2.6,NA,NA,NA,NA,120,1.4,1.6,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,farmed,Bones<comma> viscera<comma> fins<comma> scales<comma> gills,excluded,NA,NA,320,26,NA
Osteobrama cotio cotio,Osteobrama cotio,,,15,http://www.fishbase.org/summary/13187,,,,"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",NA,NA,1954,NA,Dhela,NA,NA,NA,finfish,NA,NA,14.7,3.8,NA,NA,NA,NA,1200,3.7,1.8,NA,NA,NA,23.81,NA,NA,NA,NA,NA,Mymensingh,NA,NA,July–September 2012,NA,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vitamin A as total vitamin A, also, need to remove the data points with a's in them, because those were reported in Roos et al. 2001 already",NA,freshwater,wild,Viscera<comma> fins<comma> scales,excluded,NA,NA,110,39,NA
