Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,data_source_title,score,realm
Leptomelanosoma indicum,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.86,tropical,elongated,demersal,100,142,Leptomelanosoma indicum,Leptomelanosoma indicum,FishBase,0.988,brackmarine
Limnothrissa miodon,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,2.71,tropical,fusiform / normal,pelagic,60,17,Limnothrissa miodon,Limnothrissa miodon,FishBase,0.988,fresh
Lutjanus argentimaculatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.85,subtropical,fusiform / normal,reef-associated,120,150,Lutjanus argentimaculatus,Lutjanus argentimaculatus,FishBase,0.988,freshbrackmarine
Lutjanus johnii,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.19,tropical,fusiform / normal,reef-associated,80,97,Lutjanus johnii,Lutjanus johnii,FishBase,0.988,brackmarine
Lutjanus malabaricus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.09,tropical,fusiform / normal,reef-associated,100,100,Lutjanus malabaricus,Lutjanus malabaricus,FishBase,0.988,brackmarine
Macrognathus aculeatus,NA,NA,NA,NA,tropical,eel-like,benthopelagic,NA,38,Macrognathus aculeatus,Macrognathus aculeatus,FishBase,0.988,freshbrack
Mastacembelus armatus,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.78,tropical,eel-like,demersal,NA,90,Mastacembelus armatus,Mastacembelus armatus,FishBase,0.988,freshbrack
Megalaspis cordyla,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.91,tropical,fusiform / normal,reef-associated,100,80,Megalaspis cordyla,Megalaspis cordyla,FishBase,0.988,brackmarine
Megalops cyprinoides,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9100000858306885,tropical,fusiform / normal,benthopelagic,NA,150,Megalops cyprinoides,Megalops cyprinoides,FishBase,0.988,freshbrackmarine
Menticirrhus americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),NA,subtropical,fusiform / normal,demersal,40,50,Menticirrhus americanus,Menticirrhus americanus,FishBase,0.988,brackmarine
Microgadus tomcod,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,temperate,elongated,demersal,69,38.1,Microgadus tomcod,Microgadus tomcod,FishBase,0.988,freshbrackmarine
Micropogonias undulatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4,subtropical,fusiform / normal,demersal,100,55,Micropogonias undulatus,Micropogonias undulatus,FishBase,0.988,brackmarine
Monopterus albus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),2.880000114440918,tropical,eel-like,demersal,NA,100,Monopterus albus,Monopterus albus,FishBase,0.988,freshbrack
Mora moro,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.75,deep-water,fusiform / normal,bathypelagic,2500,80,Mora moro,Mora moro,FishBase,0.988,marine
Mormyrus rume,NA,plants/detritus+animals (troph. 2.2-2.79),grazing on aquatic plants,2.48,tropical,fusiform / normal,demersal,NA,100,Mormyrus rume,Mormyrus rume,FishBase,0.988,fresh
Morone saxatilis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.47,temperate,fusiform / normal,demersal,NA,200,Morone saxatilis,Morone saxatilis,FishBase,0.988,freshbrackmarine
Mugil liza,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,subtropical,fusiform / normal,demersal,NA,80,Mugil liza,Mugil liza,FishBase,0.988,freshbrackmarine
Mycteroperca acutirostris,NA,mainly animals (troph. 2.8 and up),NA,3.4,subtropical,fusiform / normal,reef-associated,40,80,Mycteroperca acutirostris,Mycteroperca acutirostris,FishBase,0.988,marine
Mycteroperca rubra,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.13,subtropical,fusiform / normal,demersal,200,144,Mycteroperca rubra,Mycteroperca rubra,FishBase,0.988,marine
Mystus cavasius,NA,NA,NA,NA,tropical,elongated,demersal,NA,40,Mystus cavasius,Mystus cavasius,FishBase,0.988,freshbrack
Mystus vittatus,NA,mainly animals (troph. 2.8 and up),variable,3.97,tropical,elongated,demersal,NA,21,Mystus vittatus,Mystus vittatus,FishBase,0.988,freshbrack
Nandus nandus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.89,tropical,fusiform / normal,benthopelagic,NA,20,Nandus nandus,Nandus nandus,FishBase,0.988,freshbrack
Notopterus notopterus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4,tropical,elongated,demersal,NA,60,Notopterus notopterus,Notopterus notopterus,FishBase,0.988,freshbrack
Notropis hudsonius,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.74,temperate,elongated,benthopelagic,NA,15,Notropis hudsonius,Notropis hudsonius,FishBase,0.988,freshbrack
Ompok pabda,NA,NA,NA,NA,tropical,elongated,demersal,NA,30,Ompok pabda,Ompok pabda,FishBase,0.988,fresh
Oncorhynchus nerka,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.23,temperate,fusiform / normal,pelagic-oceanic,250,84,Oncorhynchus nerka,Oncorhynchus nerka,FishBase,0.988,freshbrackmarine
Osteobrama cotio,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,15,Osteobrama cotio,Osteobrama cotio,FishBase,0.988,fresh
Pagrus caeruleostictus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,subtropical,short and / or deep,benthopelagic,200,90,Pagrus caeruleosticuts,Pagrus caeruleosticuts,FishBase,0.75,brackmarine
Pagrus caeruleostictus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,subtropical,short and / or deep,benthopelagic,200,90,Pagrus caeruleostictus,Pagrus caeruleostictus,FishBase,0.988,brackmarine
Pampus argenteus,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.23,subtropical,short and / or deep,benthopelagic,110,60,Pampus argenteus,Pampus argenteus,FishBase,0.988,marine
Parachela siamensis,NA,mainly animals (troph. 2.8 and up),NA,NA,tropical,elongated,pelagic,NA,15,Parachela siamensis,Parachela siamensis,FishBase,0.988,fresh
Parastromateus niger,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,2.9300000667572017,tropical,short and / or deep,reef-associated,105,75,Parastromateus niger,Parastromateus niger,FishBase,0.988,brackmarine
Parona signata,NA,mainly animals (troph. 2.8 and up),NA,3.4,subtropical,fusiform / normal,demersal,NA,60,Parona signata,Parona signata,FishBase,0.988,marine
Patagonotothen ramsayi,NA,mainly animals (troph. 2.8 and up),browsing on substrate,3.49,temperate,fusiform / normal,benthopelagic,500,44,Patagonotothen ramsayi,Patagonotothen ramsayi,FishBase,0.988,marine
Pennahia argentata,NA,mainly animals (troph. 2.8 and up),variable,3.74,temperate,fusiform / normal,benthopelagic,140,40,Pennahia argentata,Pennahia argentata,FishBase,0.988,marine
Perca flavescens,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.36,temperate,fusiform / normal,benthopelagic,56,50,Perca flavescens,Perca flavescens,FishBase,0.988,freshbrack
Phycis phycis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.91,subtropical,fusiform / normal,benthopelagic,614,65,Phycis phycis,Phycis phycis,FishBase,0.988,marine
Piaractus mesopotamicus,NA,mainly plants/detritus (troph. 2-2.19),other,2,subtropical,short and / or deep,demersal,NA,40.5,Piaractus mesopotamicus,Piaractus mesopotamicus,FishBase,0.988,fresh
Pimelodus maculatus,NA,mainly animals (troph. 2.8 and up),NA,2.87,subtropical,fusiform / normal,benthopelagic,NA,51,Pimelodus maculatus,Pimelodus maculatus,FishBase,0.988,fresh
Pinirampus pirinampu,NA,mainly animals (troph. 2.8 and up),NA,4.5,tropical,fusiform / normal,demersal,NA,120,Pinirampus pinirampu,Pinirampus pinirampu,FishBase,0.75,fresh
Plagioscion squamosissimus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.97,tropical,fusiform / normal,benthopelagic,NA,80,Plagioscion squamosissimus,Plagioscion squamosissimus,FishBase,0.988,fresh
Platycephalus indicus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.09,subtropical,elongated,reef-associated,200,100,Platycephalus indicus,Platycephalus indicus,FishBase,0.988,brackmarine
Pollachius pollachius,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.91,temperate,fusiform / normal,benthopelagic,200,130,Pollachius pollachius,Pollachius pollachius,FishBase,0.988,marine
Pomoxis nigromaculatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.81,temperate,short and / or deep,benthopelagic,NA,49,Pomoxis nigromaculatus,Pomoxis nigromaculatus,FishBase,0.988,fresh
Prochilodus lineatus,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.18,subtropical,fusiform / normal,benthopelagic,NA,80,Prochilodus lineatus,Prochilodus lineatus,FishBase,0.988,fresh
Prochilodus reticulatus,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2,tropical,fusiform / normal,benthopelagic,NA,28,Prochilodus reticulatus,Prochilodus reticulatus,FishBase,0.988,freshbrack
Protonibea diacanthus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.93,tropical,fusiform / normal,demersal,100,150,Protonibea diacanthus,Protonibea diacanthus,FishBase,0.988,brackmarine
Protopterus aethiopicus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.43,tropical,elongated,demersal,60,200,Protopterus aethiopicus,Protopterus aethiopicus,FishBase,0.988,fresh
Protopterus aethiopicus,NA,NA,NA,NA,tropical,elongated,demersal,60,200,Protopterus aethiopicus,Protopterus aethiopicus,FishBase,0.988,fresh
Psettichthys melanostictus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.06,temperate,short and / or deep,demersal,325,63,Psettichthys melanostictus,Psettichthys melanostictus,FishBase,0.988,marine
Pseudoplatystoma corruscans,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.5,subtropical,fusiform / normal,demersal,NA,166,Pseudoplatystoma corruscans,Pseudoplatystoma corruscans,FishBase,0.988,fresh
Pseudopleuronectes americanus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.08,temperate,short and / or deep,demersal,143,64,Pseudopleuronectes americanus,Pseudopleuronectes americanus,FishBase,0.988,marine
Pterodoras granulosus,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.55,subtropical,fusiform / normal,demersal,NA,70,Pterodoras granulosus,Pterodoras granulosus,FishBase,0.988,fresh
Puntioplites proctozystron,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.7,tropical,fusiform / normal,benthopelagic,NA,30,Puntioplites proctozystron,Puntioplites proctozystron,FishBase,0.988,fresh
Puntius sophore,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,20,Puntius sophore,Puntius sophore,FishBase,0.988,freshbrack
Rasbora tawarensis,NA,NA,NA,NA,tropical,fusiform / normal,benthopelagic,NA,12,Rasbora tawarensis,Rasbora tawarensis,FishBase,0.988,fresh
Rastrelliger brachysoma,NA,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,2.72,tropical,fusiform / normal,pelagic-neritic,200,34.5,Rastrelliger brachysoma,Rastrelliger brachysoma,FishBase,0.988,brackmarine
Rastrelliger kanagurta,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1900000572204594,tropical,fusiform / normal,pelagic-neritic,90,NA,Rastrelliger kanagurta,Rastrelliger kanagurta,FishBase,0.988,marine
Rastrineobola argentea,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.4100000858306885,tropical,fusiform / normal,pelagic,NA,9,Rastrineobola argentea,Rastrineobola argentea,FishBase,0.988,fresh
Sarda orientalis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.210000038146973,subtropical,fusiform / normal,pelagic-neritic,167,102,Sarda orientalis,Sarda orientalis,FishBase,0.988,marine
Sarda sarda,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.34,subtropical,fusiform / normal,pelagic-neritic,200,91.4,Sarda sarda,Sarda sarda,FishBase,0.988,brackmarine
Sardina pilchardus,NA,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,2.94,subtropical,fusiform / normal,pelagic-neritic,100,27.5,Sardina pilchardus,Sardina pilchardus,FishBase,0.988,freshbrackmarine
Sardinella brasiliensis,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.1,subtropical,fusiform / normal,pelagic-neritic,60,27,Sardinella brasiliensis,Sardinella brasiliensis,FishBase,0.988,brackmarine
Sardinella fimbriata,NA,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,2.700000047683716,tropical,fusiform / normal,pelagic-neritic,50,13,Sardinella fimbriata,Sardinella fimbriata,FishBase,0.988,brackmarine
Sardinella maderensis,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,subtropical,fusiform / normal,pelagic-neritic,80,30,Sardinella maderensis,Sardinella maderensis,FishBase,0.988,brackmarine
Sarpa salpa,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.14,subtropical,fusiform / normal,benthopelagic,70,51,Sarpa salpa,Sarpa salpa,FishBase,0.988,brackmarine
Saurida undosquamis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.25,subtropical,elongated,reef-associated,350,50,Saurida undosquamis,Saurida undosquamis,FishBase,0.988,marine
Sciaena umbra,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.83,subtropical,fusiform / normal,demersal,200,70,Sciaena umbra,Sciaena umbra,FishBase,0.988,brackmarine
Scomberomorus guttatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.28,tropical,fusiform / normal,pelagic-neritic,200,76,Scomberomorus guttatus,Scomberomorus guttatus,FishBase,0.988,brackmarine
Scorpaena scrofa,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,subtropical,fusiform / normal,demersal,500,50,Scorppaena scrofa,Scorppaena scrofa,FishBase,0.75,brackmarine
Scorpaena scrofa,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,subtropical,fusiform / normal,demersal,500,50,Scorpaena scrofa,Scorpaena scrofa,FishBase,0.988,brackmarine
Scorpaena scrofa,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.95,subtropical,fusiform / normal,demersal,500,50,Scorpena scrofa,Scorpena scrofa,FishBase,0.75,brackmarine
Sebastes aleutianus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.66,deep-water,fusiform / normal,bathydemersal,900,97,Sebastes aleutianus,Sebastes aleutianus,FishBase,0.988,marine
Selaroides leptolepis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6099998950958248,tropical,fusiform / normal,reef-associated,50,22,Selaroides leptolepis,Selaroides leptolepis,FishBase,0.988,brackmarine
Selene vomer,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.67,subtropical,fusiform / normal,demersal,53,48.3,Selene vomer,Selene vomer,FishBase,0.988,brackmarine
Seriolina nigrofasciata,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.17,tropical,short and / or deep,reef-associated,150,70,Seriolina nigrofasciata,Seriolina nigrofasciata,FishBase,0.988,brackmarine
Serranus scriba,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.58,subtropical,fusiform / normal,demersal,150,36,Serranus scriba,Serranus scriba,FishBase,0.988,marine
Siganus rivulatus,NA,mainly plants/detritus (troph. 2-2.19),browsing on substrate,2,subtropical,fusiform / normal,reef-associated,30,27,Siganus rivulatus,Siganus rivulatus,FishBase,0.988,brackmarine
Sillaginopsis panijus,NA,plants/detritus+animals (troph. 2.2-2.79),variable,3.27,tropical,elongated,demersal,NA,44,Sillaginopsis panijus,Sillaginopsis panijus,FishBase,0.988,freshbrackmarine
Somniosus microcephalus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.31,boreal,elongated,benthopelagic,2992,427,Somniosus microcephalus,Somniosus microcephalus,FishBase,0.988,brackmarine
Sorubim lima,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.099999904632568,tropical,elongated,demersal,NA,54.2,Sorubim lima,Sorubim lima,FishBase,0.988,fresh
Sparisoma cretense,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.86,subtropical,fusiform / normal,reef-associated,50,50,Sparisoma cretense,Sparisoma cretense,FishBase,0.988,marine
Sphyraena chrysotaenia,NA,NA,NA,NA,subtropical,elongated,pelagic-neritic,NA,32.2,Sphyraena chrysotaenia,Sphyraena chrysotaenia,FishBase,0.988,marine
Sphyraena sphyraena,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,subtropical,elongated,pelagic-neritic,100,165,Sphyraena sphyraena,Sphyraena sphyraena,FishBase,0.988,marine
Spicara maena,NA,mainly animals (troph. 2.8 and up),selective plankton feeding,3.5,subtropical,fusiform / normal,pelagic-neritic,130,25,Spicara maena,Spicara maena,FishBase,0.988,marine
Spicara smaris,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.1600000858306885,subtropical,fusiform / normal,pelagic-neritic,328,20,Spicara smaris,Spicara smaris,FishBase,0.988,marine
Stolephorus tri,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,50,9.5,Stolephorus tri,Stolephorus tri,FishBase,0.988,brackmarine
Stolothrissa tanganicae,NA,plants/detritus+animals (troph. 2.2-2.79),variable,2.74,tropical,elongated,pelagic,60,10,Stolothrissa tanganicae,Stolothrissa tanganicae,FishBase,0.988,fresh
Syacium gunteri,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.26,tropical,short and / or deep,reef-associated,95,20,Syacium gunteri,Syacium gunteri,FishBase,0.988,brackmarine
Tenualosa ilisha,NA,mainly plants/detritus (troph. 2-2.19),grazing on aquatic plants,2.89,tropical,fusiform / normal,pelagic-neritic,200,60,Tenualosa ilisha,Tenualosa ilisha,FishBase,0.988,freshbrackmarine
Tenualosa macrura,NA,NA,NA,NA,tropical,fusiform / normal,pelagic-neritic,50,52,Tenualosa macrura,Tenualosa macrura,FishBase,0.988,freshbrackmarine
Thryssa purava,NA,mainly animals (troph. 2.8 and up),variable,3.549999952316284,tropical,elongated,pelagic-neritic,50,15.5,Thryssa purava,Thryssa purava,FishBase,0.988,brackmarine
Thynnichthys thynnoides,NA,mainly plants/detritus (troph. 2-2.19),NA,2.31,tropical,fusiform / normal,benthopelagic,NA,25,Thynnichthys thynnoides,Thynnichthys thynnoides,FishBase,0.988,fresh
Trachinotus blochii,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,tropical,short and / or deep,reef-associated,7,110,Trachinotus blochii,Trachinotus blochii,FishBase,0.988,brackmarine
Trachinotus ovatus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.73,subtropical,fusiform / normal,pelagic-neritic,200,70,Trachinotus ovatus,Trachinotus ovatus,FishBase,0.988,brackmarine
Trachinus draco,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.18,temperate,fusiform / normal,demersal,150,53,Trachinus draco,Trachinus draco,FishBase,0.988,marine
Trachurus lathami,NA,mainly animals (troph. 2.8 and up),variable,3.27,subtropical,fusiform / normal,reef-associated,200,40,Trachurus lathami,Trachurus lathami,FishBase,0.988,marine
Trachurus mediterraneus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.369999885559082,subtropical,fusiform / normal,pelagic-oceanic,500,60,Trachurus mediterraneus,Trachurus mediterraneus,FishBase,0.988,brackmarine
Trigla lyra,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.509999990463257,deep-water,fusiform / normal,bathydemersal,700,60,Trigla lyra,Trigla lyra,FishBase,0.988,marine
Umbrina cirrosa,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.41,subtropical,fusiform / normal,demersal,100,73,Umbrina cirrosa,Umbrina cirrosa,FishBase,0.988,marine
Upeneus moluccensis,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.6,subtropical,fusiform / normal,reef-associated,120,22,Upeneus moluccensis,Upeneus moluccensis,FishBase,0.988,brackmarine
Upeneus parvus,NA,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,tropical,fusiform / normal,demersal,100,30,Upeneus parvus,Upeneus parvus,FishBase,0.988,marine
Xenentodon cancila,NA,mainly animals (troph. 2.8 and up),NA,3.86,tropical,elongated,pelagic-neritic,2,40,Xenentodon cancila,Xenentodon cancila,FishBase,0.988,freshbrackmarine
Xenentodon cancila,NA,mainly animals (troph. 2.8 and up),NA,3.86,tropical,elongated,pelagic-neritic,2,40,Xenontedon cancila,Xenontedon cancila,FishBase,0.75,freshbrackmarine
