ref_info,seanuts_id2,food_name_clean,species_name,nutrient,concentration,subgroup,abs_lat,latitude.x,bulk_mean_length,bulk_max_length,bulk_trophic_level,feeding_mode,feeding_level,anacat,country_region,updated_ref_info,location,latitude_details,latitude.y,longitude,weight_from_study_g,length_from_study,X13,abs_lat2
"Reykdal Ó., Jörundsdóttir H.Ó., Desnica N., Hauksdóttir S., Ragnarsdóttir Þ., Vrac A., Gunnlaugsdóttir H., Pálmadóttir H. (2011). Nutrient value of seafoods – Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",98,Ocean_quahog_wild_raw,Arctica islandica,fat_g,0.5,mollusc,63.968654,63.968654,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1570,NA,Argopecten irradians,fat_g,1.14,mollusc,NA,NA,7.5,7.5,NA,NA,filtering plankton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1571,NA,Argopecten irradians,fat_g,0.77,mollusc,NA,NA,7.5,7.5,NA,NA,filtering plankton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"King I., Childs M.T., Dorsett C., Ostrander J.G., Monsen E.R. (1990). Shellfish: Proximate composition, minerals, fatty acids, and sterols. Journal of the American Dietetic Association 90(5): 677-685",1575,NA,Argopecten irradians,fat_g,0.96,mollusc,NA,NA,7.5,7.5,NA,NA,filtering plankton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1466,NA,Argyrops spinifer,fat_g,0.43,finfish,20.593684,NA,70,NaN,3.71,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",327,silver_rag_wild_fillet_frozen,Ariomma bondi,fat_g,8.3,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",328,silver_rag_wild_fillet_frozen,Ariomma bondi,fat_g,6.4,finfish,25.304304,25.304304,30,30,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1384,NA,Ariomma indicum,fat_g,2.4,finfish,20.593684,NA,25,NaN,3.63,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",329,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.47,crustacean,33.886917,33.886917,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",330,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.59,crustacean,32.10119,32.10119,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",331,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.44,crustacean,33.886917,33.886917,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",332,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.37,crustacean,35.240117,35.240117,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",333,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.73,crustacean,36.5626,36.5626,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",334,Giant_red_shrimp_wild_female_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.7,crustacean,43.863529,43.863529,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",335,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.57,crustacean,35.240117,35.240117,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",336,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.48,crustacean,36.5626,36.5626,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",337,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.55,crustacean,43.863529,43.863529,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bono G., Gai G., Peiretti P.G., Badalucco C., Brugiapaglia A., Siragusa G., Palmegiano G.B. (2012). Chemical and nutritional characterisation of the Central Mediterranean giant red shrimp (Aristaeomorpha foliacea): influence of trophic and geographical factors on flesh quality. Food Chemistry 130: 104-110",338,Giant_red_shrimp_wild_male_edible_flesh_raw,Aristaeomorpha foliacea,fat_g,0.52,crustacean,32.10119,32.10119,10.96666667,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",339,Shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,0.4,crustacean,39.019184,39.019184,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",340,Shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,0.2,crustacean,39.019184,39.019184,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",341,Shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,2,crustacean,39.019184,39.019184,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",342,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,0.1,crustacean,37.017954,37.017954,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",343,Red_shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,0.3,crustacean,37.017954,37.017954,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",344,Shrimp_wild_edible_flesh_raw,Aristeus antennatus,fat_g,0.87,crustacean,39.019184,39.019184,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1382,NA,Arius jella,fat_g,1.6,finfish,20.593684,NA,30,NaN,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1383,NA,Arius jella,fat_g,0.72,finfish,20.593684,NA,30,NaN,3.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",345,Sea_catfish_wild_dorsal_muscle_tissue_skin-on_raw,Arius madagascariensis,fat_g,4.2,finfish,16.041655,-16.041655,70,70,NA,NA,NA,anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",346,Sea_catfish_wild_dorsal_muscle_tissue_skin-on_raw,Arius madagascariensis,fat_g,4.3,finfish,16.041655,-16.041655,70,70,NA,NA,NA,anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",347,Sea_catfish_wild_dorsal_muscle_tissue_skin-on_raw,Arius madagascariensis,fat_g,5.6,finfish,16.041655,-16.041655,70,70,NA,NA,NA,anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",348,Sea_catfish_wild_dorsal_muscle_tissue_skin-on_raw,Arius madagascariensis,fat_g,5.8,finfish,16.041655,-16.041655,70,70,NA,NA,NA,anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",349,Sea_catfish_wild_dorsal_muscle_tissue_skin-on_raw,Arius madagascariensis,fat_g,6.6,finfish,16.041655,-16.041655,70,70,NA,NA,NA,anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vlieg P. (1985). Proximate analysis of commercial New Zealand fish species - 4. New Zealand Journal of Technology 1: 245-249,351,Kahawai_wild_skinless_fillet_frozen,Arripis trutta,fat_g,8.6,finfish,40.900557,-40.900557,85.5,75,3.7,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),anadromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",352,East_Atlantic_red_gurnard_wild_fillet_raw,Aspitrigla cuculus,fat_g,0.87,finfish,37.370157,37.370157,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",83,Aspe_wild_skinless_fillet_raw,Aspius aspius,fat_g,7.3,finfish,41.53,41.53,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazos E.S., Aggelousis G., Alexakis A. (1989). Metal and proximate composition of the edible portion of 11 freshwater fish species. Journal of Food Composition and Analysis 2: 371-381",84,Aspe_wild_skinless_fillet_raw,Aspius aspius,fat_g,6.2,finfish,41.53,41.53,120,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",353,Arrow-tooth_flounder_wild_fillets_raw,Atheresthes stomias,fat_g,3.51,finfish,57.79,57.79,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,1503,NA,Atheresthes stomias,fat_g,2.3,finfish,NA,NA,82.125,69,4.010000229,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,unknown,NA,NA,NA,NA,NA,NA,NA
"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119",354,Big-scale_sand_smelt_wild_whole_raw,Atherina boyeri,fat_g,6.2,finfish,37.266667,37.266667,20,20,3.22,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),amphidromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",1557,NA,Atherina boyeri,fat_g,2.11,finfish,39.074208,NA,20,20,3.22,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),amphidromous,NA,NA,"The samples were obtained from fish markets in various regions of Greece (Macedonia, Attica, Peloponnese)","approximate location used, actual location unknown",39.074208,21.824312,NA,NA,NA,39.074208
"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119",356,Smelt_wild_whole_raw,Atherina lagunae,fat_g,6.09,finfish,37.266667,37.266667,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Selmi S., Bouriga N., Cherif M., Toujani M., Trabelsi M. (2010). Effects of drying process on a biochemical and microbiological quality of silverside (fish) Atherina lagunae. International Journal of Food Science & Technology 45: 1161 - 1168.",357,silverside_wild_whole_raw,Atherina lagunae,fat_g,6.09,finfish,37.509726,37.509726,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bouriga N., Selmi S., Faure E., Trabelsi M. (2010). Biochemical composition of three Tunisian silverside (fish) populations caught in open sea, lagoon and island coasts. African Journal of Biotechnology 9(26): 4114-4119",355,Smelt_wild_whole_raw,Atherina sp.,fat_g,5.03,finfish,34.7,34.7,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1403,NA,Atropus atropos,fat_g,3.41,finfish,20.593684,NA,26.5,NaN,3.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1403,NA,Atropus atropos,fat_g,3.41,finfish,20.593684,NA,26.5,NaN,3.6,NA,NA,amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1404,NA,Atropus atropos,fat_g,1.52,finfish,20.593684,NA,26.5,NaN,3.6,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Mathew S., Ammu K. Viswanathan N.P.G., Devadasan K. (1999). Cholesterol content of Indian fish and shellfish. Food Chemistry 66: 455-461",1404,NA,Atropus atropos,fat_g,1.52,finfish,20.593684,NA,26.5,NaN,3.6,NA,NA,amphidromous,NA,NA,"Other samples were collected during Cruise 153 of FORV Sagarsampada, from local markets and aquaculture farms","approximate location used, actual location unknown",20.593684,78.96288,NA,NA,NA,20.593684
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",359,Bullet_tuna_wild_ventral_muscle_raw,Auxis rochei,fat_g,21.6,finfish,36.204824,36.204824,50,50,4.27,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",360,Bullet_tuna_wild_dorsal_muscle_raw,Auxis rochei,fat_g,4.8,finfish,36.204824,36.204824,50,50,4.27,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",362,Frigate_tuna_wild_ventral_muscle_raw,Auxis thazard,fat_g,15.3,finfish,36.204824,36.204824,65,65,4.360000134,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",363,Frigate_tuna_wild_dorsal_muscle_raw,Auxis thazard,fat_g,5.1,finfish,36.204824,36.204824,65,65,4.360000134,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",361,Frigate_tuna_adult_fish_muscle_flesh_middle_portion_raw,Auxis thazard thazard,fat_g,6.05,finfish,23.372169,-23.372169,54,54,4.360000134,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",1366,NA,Bagre marinus,fat_g,2.65,finfish,19.432608,NA,69,NaN,3.88,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,"seafood market in mexico city, exact source location unkown",NA,19.432608,-99.133208,NA,NA,NA,19.432608
"Masa J., Ogwok P., Muyonga J.H., Kwetegyeka J., Makokha V., Ocen D. (2011). Fatty acid composition of muscle, liver and adipose tissue of freshwater fish from Lake Victoria, Uganda. J Aqua Food Prod Technol 20: 64-72",364,Catfish_A_wild_muscle_fillet_raw,Bagrus docmak,fat_g,6.25,finfish,0.033333,-0.033333,127,127,4.08,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Castro-González M.I., Silencio Barrita J.L., Juárez Silva M.E., Montaño Benavides S., Pérez-Gil Romo F. (1998). Composición química de la fauna de acompañamiento del camarón de Veracruz (Golfo de México). Revista de Biología Tropical 46(2): 249-256",367,Grey_triggerfish_wild_edible_portion_raw,Balistes capriscus,fat_g,1,finfish,19.173773,19.173773,59.125,56.5,3.45,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",368,Grey_triggerfish_wild_fillet_raw,Balistes capriscus,fat_g,0.53,finfish,37.370157,37.370157,59.125,56.5,3.45,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bogard, J.R., Thilsted, S.H., Marks, G.C., Wahab, M.A., Hossain, M.A., Jakobsen, J. and Stangoulis, J., 2015. Nutrient composition of important fish species in Bangladesh and potential contribution to recommended nutrient intakes. Journal of Food Composition and Analysis, 42, pp.120-133.",1991,Thai Sarpunti,Barbonymus gonionotus,fat_g,4.4,finfish,23.81,NA,40.5,NaN,2.359999895,grazing on aquatic plants,plants/detritus+animals (troph. 2.2-2.79),potamodromous,Mymensingh,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1302,NA,Barbus grypus,fat_g,1.5,finfish,31.436015,NA,150,NaN,NA,NA,NA,NA,NA,NA,Khuzestan,"approximate location used, actual location unknown",31.436015,49.041312,NA,NA,NA,31.436015
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",1303,NA,Barbus grypus,fat_g,6.1,finfish,31.436015,NA,150,NaN,NA,NA,NA,NA,NA,NA,Khuzestan,"approximate location used, actual location unknown",31.436015,49.041312,NA,NA,NA,31.436015
"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",370,Garfish_wild_edible_part_raw,Belone belone,fat_g,13.42,finfish,42.163403,42.163403,92,89,4.5,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ifon E.T., Umoh I.B. (1987). Biochemical and nutritional evaluation of Egreria radiata (Clam), a delicacy of some riverine peasant populations in Nigeria. Food Chemistry 24: 21-27",1630,NA,Bivalvia,fat_g,3.663,mollusc,9.081999,NA,NaN,NaN,NA,NA,NA,NA,NA,NA,Nigeria,"approximate location used, actual location unknown",9.081999,8.675277,NA,NA,NA,9.081999
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",372,Bogue_seabream_wild_edible_flesh_raw,Boops boops,fat_g,0.5,finfish,39.019184,39.019184,34.92857143,30,3.11,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",373,Bogue_seabream_wild_edible_flesh_raw,Boops boops,fat_g,2,finfish,39.019184,39.019184,34.92857143,30,3.11,selective plankton feeding,mainly animals (troph. 2.8 and up),oceanodromous,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
