Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,DemersPelag,DepthRangeDeep,Length,user_supplied_name,submitted_name,score,exclude,realm,obs_id,taxize_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,BodyShapeI
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1451,NA,Finfish,NA,muscle,"Loche, wild, meat, raw",40,0.4,0.6,NA,NA,18,0.6,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope).",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,0902368,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1454,NA,Finfish,NA,liver,"Loche, wild, liver, raw",10,2,2,NA,NA,8,34,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope).",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,0902371,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1456,NA,Finfish,NA,skin,"Loche, wild, skin, raw",212,0.8,1.8,NA,NA,24,1,fc003,"Canada, Northwest Territories, western Canadian Arctic, communities of K ásho T ine (Fort Good Hope) and K áhbamit úé (Colville Lake)",1988 to 1990,"Composite sample; FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method.",1994,0902373,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1479,NA,Finfish,NA,muscle,"Loche, wild, meat, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902396,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1482,NA,Finfish,NA,liver,"Loche, wild, liver, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902399,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1484,NA,Finfish,NA,skin,"Loche, wild, skin, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902401,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1516,NA,Finfish,NA,muscle,"Loche, wild, meat, raw",NA,NA,NA,NA,0.1,NA,0.5,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902433,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1519,NA,Finfish,NA,liver,"Loche, wild, liver, raw",NA,NA,NA,0.8,0.8,NA,35.7,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902436,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc1520,NA,Finfish,NA,skin,"Loche, wild, skin, raw",NA,NA,NA,0.1,0.1,NA,1.2,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Sample is a composite from 2 or more individuals; tr=trace amount <0.05 g/100 g,1991,0902437,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,bc901,NA,Finfish,Burbot,muscle,"Burbot, wild, fillet, raw",NA,NA,NA,NA,NA,17.4,NA,fi141,"USA, NY, Ithaca, Cayuga Lake",NA,NA,1980,0900920,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c375,NA,Finfish,Burbot,muscle,"Burbot, muscle",NA,NA,NA,NA,NA,17.4,0.9,40,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c378,NA,Finfish,Burbot,muscle,"Burbot, muscle",NA,0.6,NA,NA,NA,17.4,0.6,34,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c383,NA,Finfish,Burbot,muscle,"Burbot, muscle",NA,NA,NA,0.063,0.135,NA,NA,59,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c394,NA,Finfish,Burbot,liver,"Burbot, liver",NA,NA,NA,0.484,0.773,NA,NA,59,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c399,NA,Finfish,Burbot,eggs,"Burbot, eggs",NA,NA,NA,0.673,1.14,NA,NA,59,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c403,NA,Finfish,Burbot,muscle,"Burbot, muscle",NA,NA,NA,NA,NA,17.6,0.8,27,NA,NA,NA,NA,NA,elongated
Lota lota,3.7916666666666665,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.05,temperate,demersal,700,152,NA,Lota lota,NA,NA,freshbrack,c404,NA,Finfish,Burbot,whole,"Burbot, whole",NA,NA,NA,NA,NA,15.2,3.7,27,NA,NA,NA,NA,NA,elongated
Macrodon ancylodon,2.7,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.9,subtropical,demersal,60,45,NA,Macrodon ancylodon,NA,NA,brackmarine,bc561,NA,Finfish,King weakfish,muscle,"Kink weakfish, wild, fillet, raw",NA,NA,NA,0.02618412,0.07058328,19.2,0.56,fi95,"Uruguay, Río de la Plata",Dec 1991-Jan 1992 (Summer),FA converted using XFA,1996,0900580,fusiform / normal
Macrourus berglax,14.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,1000,110,NA,Macrourus berglax,NA,NA,marine,bc74,NA,Finfish,Roughhead grenadier,muscle,"Roughhead grenadier, wild, dorsal muscle, raw",NA,NA,NA,0.071462001,0.125921415,16.7,0.61,fi11,"Unknown, Hatton Bank, North Atlantic",NA,FA converted using XFA,2005,0900074,elongated
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,pelagic-oceanic,725,20,NA,Mallotus villosus,NA,NA,freshbrackmarine,bc1223,NA,Finfish,Capelin,eggs,"Capelin, roe, wild, raw",39,0.16,2.3,NA,NA,10.8,3.5,im11,"Iceland, North Atlantic",NA,NA,2011,0901262,elongated
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,pelagic-oceanic,725,20,NA,Mallotus villosus,NA,NA,freshbrackmarine,bc284,NA,Finfish,Capelin,whole,"Capelin, wild, whole fish, raw",NA,NA,NA,0.36230105,0.45922235,NA,5.1,fi59,"USA, Alaska, British Columbia, Pacific Northwest waters",Summer,FA converted using XFA,2009,0900303,elongated
Mallotus villosus,2,mainly animals (troph. 2.8 and up),selective plankton feeding,3.2,polar,pelagic-oceanic,725,20,NA,Mallotus villosus,NA,NA,freshbrackmarine,c408,NA,Finfish,Capelin,muscle,"Capelin, muscle",NA,NA,NA,0.65,0.2,NA,NA,55,NA,NA,NA,NA,NA,elongated
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc1212,NA,Finfish,Haddock,muscle,"Haddock, wild, fillet, raw",7.8,0.11,0.29,NA,NA,17.7,0.3,im11,"Iceland, North Atlantic",NA,NA,2011,0901251,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc1247,NA,Finfish,Haddock,muscle,"Haddock, wild, fillet, raw",NA,NA,NA,0.060220439137797,0.137400308263737,NA,0.6,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901286,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc1248,NA,Finfish,Haddock,muscle,"Haddock, wild, fillet, raw",NA,NA,NA,0.0445200724869658,0.115993934276201,NA,0.51,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901287,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc1249,NA,Finfish,Haddock,muscle,"Haddock, wild, fillet, raw",NA,NA,NA,0.0577349538336388,0.117637353411997,NA,0.55,im11,"Iceland, North Atlantic",NA,FAME converted using ShF and XFA,2011,0901288,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc1258,NA,Finfish,Haddock,muscle,"Haddock, wild, fillet, raw",NA,NA,NA,NA,NA,NA,NA,im11,"Iceland, North Atlantic",NA,NA,2011,0901297,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc613,NA,Finfish,Haddock,muscle_skinless,"Haddock, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.8,fi105,"Unknown, Nolsoyar Bank",Sep 2001,NA,2006,0900632,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,bc614,NA,Finfish,Haddock,muscle_skinless,"Haddock, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.8,fi105,"Unknown, Nolsoyar Bank",Sep 2001,NA,2006,0900633,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,c411,NA,Finfish,Haddock,muscle,"Haddock, muscle",27,0.679,0.788,NA,NA,18.2,0.5,27,NA,NA,NA,NA,NA,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,c414,NA,Finfish,Haddock,whole,"Haddock, whole",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,c417,NA,Finfish,Haddock,muscle,"Haddock, muscle",NA,NA,NA,0.07,0.14,NA,0.59,55,NA,NA,NA,NA,NA,fusiform / normal
Melanogrammus aeglefinus,3,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.56,temperate,demersal,450,112,NA,Melanogrammus aeglefinus,NA,NA,marine,c419,NA,Finfish,Haddock,muscle,"Haddock, muscle",NA,NA,NA,0.07,0.14,NA,NA,55,NA,NA,NA,NA,NA,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,af210,NA,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",73.5713,7.6567,1.2857,NA,NA,13.43,1.34,fi92,"Unknown (samples from local fish market, Istanbul)","Winter (Dec 2006, Jan, Feb 2007)",NA,2010,0901514,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,af211,NA,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",46.7305,3.2061,1.115,NA,NA,15.05,1.22,fi92,"Unknown (samples from local fish market, Istanbul)","Spring (Mar, Apr, May 2007)",NA,2010,0901515,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,af212,NA,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",58.831,2.2046,1.5099,NA,NA,17.24,1.48,fi92,"Unknown (samples from local fish market, Istanbul)","Summer (Jun, Jul, Aug 2007)",NA,2010,0901516,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,af213,NA,Finfish,Whiting,muscle,"Whiting, wild, edible muscle tissue, raw",57.394,7.8313,1.4984,NA,NA,16.24,2.37,fi92,"Unknown (samples from local fish market, Istanbul)","Autumn (Sep, Oct, Nov 2007)",NA,2010,0901517,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,bc268,NA,Finfish,Whiting,muscle_organs,"Whiting, wild, edible part, raw",NA,NA,NA,1.41711633,4.01939566,16.65,18.3,fi57,"Turkey, Black Sea",fall 1995-spring 1996,FA converted using XFA,1998,0900287,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,bc424,NA,Finfish,Whiting,muscle,"Whiting, wild, edible flesh, raw",NA,NA,NA,0.030285,0.068646,18,0.3,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet,1995,0900443,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,bc629,NA,Finfish,Whiting,muscle_skinless,"Whiting, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, Nolsoyar Bank",Sep 2001,NA,2006,0900648,fusiform / normal
Merlangius merlangus,1.6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.57,temperate,benthopelagic,200,91.5,NA,Merlangius merlangus,NA,NA,brackmarine,bc630,NA,Finfish,Whiting,muscle_skinless,"Whiting, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.8,fi105,"Unknown, Pobie Bank",Sep 2001,NA,2006,0900649,fusiform / normal
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,benthopelagic,800,95,NA,Merluccius hubbsi,NA,NA,marine,bc882,NA,Finfish,Argentine hake,muscle_skinless,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",NA,NA,NA,0.17,0.45,NA,3.4,fi137,"Argentinia/Uruguay, South Atlantic",Feb,NA,1997,0900901,elongated
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,benthopelagic,800,95,NA,Merluccius hubbsi,NA,NA,marine,bc883,NA,Finfish,Argentine hake,muscle_skinless,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",NA,NA,NA,0.07,0.31,NA,1.1,fi137,"Argentinia/Uruguay, South Atlantic",Mar,NA,1997,0900902,elongated
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,benthopelagic,800,95,NA,Merluccius hubbsi,NA,NA,marine,bc884,NA,Finfish,Argentine hake,muscle_skinless,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",NA,NA,NA,0.08,0.38,NA,1.7,fi137,"Argentinia/Uruguay, South Atlantic",Apr,NA,1997,0900903,elongated
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,benthopelagic,800,95,NA,Merluccius hubbsi,NA,NA,marine,bc885,NA,Finfish,Argentine hake,muscle_skinless,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",NA,NA,NA,0.06,0.3,NA,1.3,fi137,"Argentinia/Uruguay, South Atlantic",Jul,NA,1997,0900904,elongated
Merluccius hubbsi,6,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.23,temperate,benthopelagic,800,95,NA,Merluccius hubbsi,NA,NA,marine,bc886,NA,Finfish,Argentine hake,muscle_skinless,"Atlantic hake, wild, female, skinless dorsal muscle (subdermal fat removed), raw",NA,NA,NA,0.09,0.32,NA,1.4,fi137,"Argentinia/Uruguay, South Atlantic",Dec,NA,1997,0900905,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc292,NA,Finfish,European hake,muscle_skinless,"Hake, wild, skinless muscle tissue, raw",NA,NA,NA,0.052627477,0.272766809,18.59,0.87,fi63,"Italy, Adriatic Sea, Gulf of Manfredonia",NA,FA converted using XFA,2009,0900311,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc329,NA,Finfish,European hake,muscle,"European hake, wild, fillet, raw",NA,NA,NA,0.032889248,0.15187926400000001,NA,0.76,fi67,"Turkey, Mediterranean Sea",NA,FA converted using XFA,2009,0900348,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc404,NA,Finfish,European hake,muscle,"European hake, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,NA,1995,0900423,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc444,NA,Finfish,European hake,muscle,"European hake, wild, edible flesh, raw",NA,NA,NA,NA,NA,16,0.4,fi80,"Greece, Aegean Sea",Spring,FAT- (analyzed according to AOAC 1975),1995,0900463,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc445,NA,Finfish,European hake,muscle,"European hake, wild, edible flesh, raw",NA,NA,NA,NA,NA,17,0.6,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900464,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc446,NA,Finfish,European hake,muscle,"European hake, wild, edible flesh, raw",NA,NA,NA,NA,NA,18,2,fi80,"Greece, Aegean Sea",Winter,FAT- (analyzed according to AOAC 1975),1995,0900465,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc637,NA,Finfish,European hake,muscle_skinless,"European hake, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,1.1,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900656,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,bc638,NA,Finfish,European hake,muscle_skinless,"European hake, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,1.5,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900657,elongated
Merluccius merluccius,4.291666666666667,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.43,temperate,demersal,1075,140,NA,Merluccius merluccius,NA,NA,marine,seadata127,NA,Finfish,NA,muscle,"NA, edible muscle",228.1,2.2887,NA,NA,NA,17.97,1.26,sea11,Marmara Sea,NA,NA,NA,NA,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,bc279,NA,Finfish,North pacific hake,muscle_skinless,"Pacific hake, wild, skinless fillet, raw",NA,NA,NA,0.069467419,0.118810272,NA,0.73,fi59,"USA, Alaska, British Columbia, Pacific Northwest waters",Summer,FA converted using XFA,2009,0900298,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,bc818,NA,Finfish,North Pacific hake,muscle,"Pacific whiting, wild, fillet, raw",9.2,0.2579,0.3969,NA,NA,NA,NA,fi125,"USA, OR, Northeast Pacific, Astoria",NA,NA,1984,0900837,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,bc819,NA,Finfish,North Pacific hake,muscle,"Pacific whiting, wild, fillet, raw",10.4,0.2437,0.3052,NA,NA,NA,NA,fi125,"USA, OR, Northeast Pacific, Astoria",NA,NA,1984,0900838,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,bc967,NA,Finfish,North Pacific hake,muscle,"Pacific hake, wild, fillet, raw",NA,NA,NA,NA,NA,16.87,2.61,fi156,"USA, north OR coast",Aug 1977,NA,1979,0900986,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,c433,NA,Finfish,Pacific Hake,muscle,"Pacific Hake, muscle",46,NA,NA,NA,NA,16.6,1.7,27,NA,NA,NA,NA,NA,elongated
Merluccius productus,3.2666666666666666,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.980000019073486,temperate,pelagic-neritic,1000,91,NA,Merluccius productus,NA,NA,brackmarine,c434,NA,Finfish,Pacific Hake,whole,"Pacific Hake, whole",NA,NA,NA,NA,NA,14.5,3.6,27,NA,NA,NA,NA,NA,elongated
Micromesistius poutassou,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.700000047683716,temperate,bathypelagic,3000,55.5,NA,Micromesistius poutassou,NA,NA,marine,bc631,NA,Finfish,Blue whiting(=Poutassou),muscle_skinless,"Blue whiting, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900650,elongated
Micromesistius poutassou,3.3333333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.700000047683716,temperate,bathypelagic,3000,55.5,NA,Micromesistius poutassou,NA,NA,marine,bc632,NA,Finfish,Blue whiting(=Poutassou),muscle_skinless,"Blue whiting, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, West of Shetland Islands",Sep 2001,NA,2006,0900651,elongated
Micropogonias furnieri,2.5,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.27,subtropical,demersal,60,60,NA,Micorpogonias furnieri,NA,NA,brackmarine,bc563,NA,Finfish,Whitemouth croaker,muscle,"White croaker, wild, fillet, raw",NA,NA,NA,0.070633962,0.11560213,20.7,1.29,fi95,"Uruguay, Río de la Plata",Dec 1991-Jan 1992 (Summer),FA converted using XFA,1996,0900582,fusiform / normal
Microstomus kitt,3,mainly animals (troph. 2.8 and up),sucking food-containing material,3.21,temperate,demersal,200,65,NA,Microstomus kitt,NA,NA,marine,bc615,NA,Finfish,Lemon sole,muscle_skinless,"Lemon sole, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, Nolsoyar Bank",Sep 2001,NA,2006,0900634,short and / or deep
Microstomus kitt,3,mainly animals (troph. 2.8 and up),sucking food-containing material,3.21,temperate,demersal,200,65,NA,Microstomus kitt,NA,NA,marine,bc616,NA,Finfish,Lemon sole,muscle_skinless,"Lemon sole, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.7,fi105,"Unknown, Nolsoyar Bank",Sep 2001,NA,2006,0900635,short and / or deep
Microstomus kitt,3,mainly animals (troph. 2.8 and up),sucking food-containing material,3.21,temperate,demersal,200,65,NA,Microstomus kitt,NA,NA,marine,bc617,NA,Finfish,Lemon sole,muscle_skinless,"Lemon sole, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,0.8,fi105,"Unknown, Orkney Islands",Feb 2001,NA,2006,0900636,short and / or deep
