species_name,seanuts_id2,subgroup,ref_info,nutrient,concentration,dri_per
Trachinotus ovatus,1217,finfish,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",dha,0.28254396,28.254396
Trachinus draco,1218,finfish,"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299",dha,0.15597,15.597
Trachurus lathami,1220,finfish,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",dha,0.269311,26.9311
Trachurus lathami,1221,finfish,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",dha,0.5303386,53.03386
Trachurus lathami,1222,finfish,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",dha,0.4611355,46.11355
Trachurus lathami,1223,finfish,"Jahncke M.L.,Gooch J.A. (1997). Sensory and chemical characteristics of selected Gulf of Mexico coastal herring species. Journal of Food Science 62(3): 626-631",dha,0.3904186,39.04186
Trachurus mediterraneus,1236,finfish,"Güner S., Dincer B., Alemdag N., Colak A., Tüfekci M. (1998). Proximate composition and selected mineral content of commercially important fish species from the Black Sea. J Sci Food Agri 78: 337-342",dha,0.160861495,16.086149499999998
Trachurus mediterraneus,1237,finfish,"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638",dha,0.41094602,41.094602
Trachurus trachurus,1239,finfish,Celik M. (2008). Seasonal changes in the proximate chemical composition and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 933-938,dha,0.07526244,7.526244
Trachurus trachurus,1241,finfish,Celik M. (2008). Seasonal changes in the proximate chemical composition and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 933-938,dha,0.04027232,4.027232
Trachurus trachurus,1242,finfish,Celik M. (2008). Seasonal changes in the proximate chemical composition and fatty acids of chub mackerel (Scomber japonicus) and horse mackerel (Trachurus trachurus) from the north eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 933-938,dha,0.233056769,23.305676899999998
Trachurus trachurus,1244,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,1.0597,105.97000000000001
Trachurus trachurus,1246,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.6977,69.77
Trachurus trachurus,1247,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,1.004,100.4
Trachurus trachurus,1248,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.8737,87.37
Trachurus trachurus,1249,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,1.0742,107.42
Trachurus trachurus,1250,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.4445,44.45
Trachurus trachurus,1251,finfish,"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",dha,0.68122395,68.122395
Trachurus trachurus,1252,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.2768,27.68
Trachurus trachurus,1253,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.3872,38.72
Trachurus trachurus,1254,finfish,"Karakoltsidis P.A., Zotos A., Constantinides S.M. (1995). Composition of the commercially important mediterranean finfish, crustaceans, and molluscs. Journal of Food Composition and Analysis 8: 258-273",dha,0.20104,20.104
Trachurus trachurus,1256,finfish,"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",dha,0.327134954,32.7134954
Trachurus trachurus,1257,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.3246,32.46
Trachurus trachurus,1258,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.4584,45.839999999999996
Trachurus trachurus,1259,finfish,"Bandarra N.M., Batista I., Nunes M.L., Empis J.M. (2001). Seasonal variation in the chemical composition of horse-mackerel (Trachurus trachurus). Eur Food Res Technol 212: 535-539",dha,0.2421,24.21
Trachurus trachurus,1562,finfish,"Kalogeropoulos N., Andrikopoulos N.K., Hassapidou M. (2004). Dietary evalutation of Mediterranean fish and molluscs pan-fried in virgin olive oil. Journal of the Science of Food and Agriculture 84:1750-1758",dha,0.488218563,48.8218563
Trachypenaeus curvirostris,1260,crustacean,"Heu M.-S., Kim J.-S., Shahidi F. (2003). Components and nutritional quality of shrimp processing by-products. Food Chemistry 82:235-242",dha,0.019580238,1.9580237999999999
Trichiurus lepturus,1369,finfish,"Castro-González M.I., Ojeda A., Silncio J.L., Cassis L., Ledesma H., Pérez-Gil F. (2004). Perfil lipídico de 25 pescados marinos mexicanos con especial énfasis en sus ácidos grasos n-3 como components nutracéuticos. Archivos Latinoamericanos de Nutricíon 54(3): 328-336",dha,0.2103,21.029999999999998
Trigla lyra,1264,finfish,"Loukas V., Dimizas C., Sinanoglou V., Miniadis-Meimaroglou S. (2010). EPA, DHA, cholesterol and phospholipid content in Pagrus pagrus (cultured and wild), Trachinus draco und Trigla lyra from Mediterranean Sea. Chemistry and Physics of Lipids 163: 292-299",dha,0.10252,10.252
Trisopterus luscus,1331,finfish,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",dha,0.03,3
Trisopterus luscus,1335,finfish,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",dha,0.069,6.9
Umbrina cirrosa,1266,finfish,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",dha,0.121825808,12.1825808
Upeneus moluccensis,1267,finfish,"Özogul Y., Özogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",dha,0.359348236,35.9348236
Xiphias gladius,1321,finfish,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",dha,1.75,175
Xiphopenaeus kroyeri,1270,crustacean,"Bragagnolo N., Rodriguez-Amaya D.B. (2001). Total lipid, cholesterol, and fatty acids of farmed freshwater prawn (Macrobrachium rosenbergii) and wild marine shrimp (Penaeus brasiliensis, Penaeus schimitti, Xiphopenaeus kroyeri). Journal of Food Composition and Analysis 14: 359-369",dha,0.097,9.700000000000001
Zeus faber,1313,finfish,"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",dha,0.156,15.6
Abramis brama,288,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.12087,12.087
Aluterus monoceros,296,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,1.09136,109.13600000000001
Arius madagascariensis,345,finfish,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",dha,0.11402312,11.402312
Arius madagascariensis,346,finfish,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",dha,0.18918921,18.918921
Arius madagascariensis,347,finfish,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",dha,0.27594174,27.594174
Arius madagascariensis,348,finfish,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",dha,0.33032868,33.032868
Arius madagascariensis,349,finfish,"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",dha,0.48479288,48.479288
Auxis thazard thazard,361,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,2.0086,200.85999999999999
Brevoortia aurea,379,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,2.38108,238.10799999999998
Caranx crysos,387,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,3.7036,370.35999999999996
Carassius carassius,388,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.05026,5.026
Chaenocephalus aceratus,403,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.75276,75.276
Chondrostoma nasus,431,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.096291,9.6291
Clupea harengus pallasi,456,finfish,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700",dha,0.32103,32.103
Cynoscion jamaicensis,494,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.2324,23.24
Cyprinus carpio,509,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.05816,5.816000000000001
Dasyatis brevis,1342,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.29336125,29.336125000000003
Eleutheronema tetradactylum,1343,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.192550388,19.255038799999998
Gadus morhua maris-albi,609,finfish,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700",dha,0.152914,15.2914
Gasterochisma melampus,244,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,0.32737,32.737
Isurus oxyrinchus,232,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,0.205086,20.508599999999998
Lamna nasus,253,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,0.288873,28.8873
Lampris guttatus,277,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,0.1659,16.59
Lepidopsetta bilineata,657,finfish,"Gladyshev M.I., Sushchik N.N., Gubanenko G.A., Demirchieva S.M., Kalachova G.S. (2007). Effect of boiling and frying on the content of essential polyunsaturated fatty acids in muscle tissue of four fish species. Food Chemistry 101:1694-1700",dha,0.111537,11.1537
Leuciscus cephalus,661,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.064194,6.4194
Leuciscus idus,662,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.06749,6.749
Lucioperca lucioperca,1006,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.0529336,5.29336
Megalaspis cordyla,1348,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.78096304,78.096304
Mugil liza,775,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.63468,63.468
Mycteroperca acutirostris,787,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,1.24747,124.74700000000001
Notothenia neglecta,812,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.79431,79.431
Opisthonema oglinum,832,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,2.527,252.70000000000002
Pampus argenteus,1346,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.48611367,48.611367
Parastromateus niger,1345,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.230262552,23.0262552
Perca fluviatilis,920,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.36578003,36.578002999999995
Perca fluviatilis,921,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.37998961,37.998960999999994
Perca fluviatilis,922,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.3545058,35.450579999999995
Perca fluviatilis,923,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.3391872,33.91872
Perca fluviatilis,924,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.39860835,39.860835
Perca fluviatilis,925,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.39547814,39.547813999999995
Perca fluviatilis,926,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.33174112,33.174112
Perca fluviatilis,927,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.36735912,36.735912
Perca fluviatilis,928,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.43857807,43.857807
Perca fluviatilis,929,finfish,"Mairesse G., Thomas M., Gardeur J.N., Brun - Bellut J. (2006). Effects of Geographic Source, Rearing System, and Season on the Nutritional Quality of Wild and Farmed Perca fluviatilis. Lipids 61 (3): 221 - 229",dha,0.3819909,38.199090000000005
Plotosus lineatus,1344,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.25584728,25.584728000000002
Pomatomus saltatrix,957,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,2.5058,250.57999999999998
Rastrelliger kanagurta,1349,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.5934589,59.345890000000004
Sarda sarda,1017,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.1952,19.52
Sardina pilchardus,1022,finfish,"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",dha,0.096160932,9.6160932
Sardina pilchardus,1023,finfish,"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",dha,0.182088036,18.2088036
Sardina pilchardus,1024,finfish,"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",dha,0.456578635,45.6578635
Sardina pilchardus,1025,finfish,"Caponio F., Summo C., Bilancia M.T., DelCuratolo D., Lestingi A., Laudadio V. (2004). Nutritional value of the lipid fraction of sardines (Sardina pilchardus W.) as a function of total length and fishing period. Industrie Alimentari 43(442): 1295-1301",dha,0.253980818,25.3980818
Sardinella brasiliensis,1041,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,1.84275,184.275
Sardinella fimbriata,1347,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.46917254,46.917254
Scomber colias,1069,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.4511,45.11
Scomberomorus commerson,1341,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,0.28406894,28.406893999999998
Selaroides leptolepis,1350,finfish,"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",dha,1.43063193,143.063193
Silurus glanis,1129,finfish,"Aggelousis G., Lazos E.S. (1990). Fatty acid composition of the lipids from eight freshwater fish species from Greece. Journal of Food Composition and Analaysis 4: 68-76",dha,0.3747,37.47
Spondyliosoma cantharus,1148,finfish,"Rodríguez C., Acosta C., Badía P., Cejas J.R., Santamaría F.J., Lorenzo A. (2004). Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish. Comparative Biochemistry and Physiology, PartB 139:619-629",dha,0.156796386,15.6796386
Thunnus alalunga,205,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,0.85918,85.918
Thunnus thynnus,1176,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,1.70973,170.97299999999998
Trachurus trachurus,1243,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,1.84617,184.61700000000002
Trichiurus lepturus,1263,finfish,"Visentainer J.V., D'Addio Noffs M., de Oliveira Carvalho P., de Almeida V.V., de Oliveira C.C., de Souza N.E. (2007). Lipid content and fatty acid composition of 15 marine fish species from the Southeast coast of Brazil. Journal of the American Oil Chemists' Society, 84(6): 543-547",dha,0.57475,57.475
Xiphias gladius,159,finfish,"Vlieg P., Murray T., Body D.R. (1993). Nutritional data on six Oceanic Pelagic fish species from New Zealand waters. Journal of Food Composition and Analysis 6: 45-54",dha,1.32636,132.636
Carcinus maenas,390,crustacean,"Skonberg D.I., Perkins B.L. (2002). Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat. Food Chemistry 77: 401-404",dha,0.115,11.5
Oncorhynchus nerka,157,finfish,"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",dha,1.3,130
Oncorhynchus nerka,160,finfish,"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",dha,0.6,60
Oncorhynchus nerka,278,finfish,"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",dha,0.3,30
Perca flavescens,285,finfish,"González S., Flick G.J., O'Keefe S.F., Duncan S.E., McLean E. Craig S.R. (2006). Composition of farmed and wild yellow perch (Perca flavescens). Journal of Food Composition and Analysis 19: 720-726",dha,0.056503323,5.6503323000000005
Thymallus arcticus,169,finfish,"Kuhnlein H.V., Chan H.M., Leggee C., Barthet V. (2002). Macronutrient, mineral and fatty acid composition of Canadian arctic traditional foo. Journal of Food Composition and Analysis 15: 545-566",dha,0.1,10
Auxis rochei,359,finfish,"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",dha,3.6417836,364.17836
Auxis rochei,360,finfish,"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",dha,0.8584092,85.84092
Auxis thazard,362,finfish,"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",dha,3.7308216,373.08216
