Species,AgeMatMin,Herbivory2,FeedingType,FoodTroph,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,obs_id,submitted_name,subgroup,common_name,body_part,food_name_in_english,ca_mg,fe_mg,zn_mg,epa,dha,protein,fat,biblio_id,location,season,comments_on_data_processing_methods,publication_year,food_item_id,realm
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,c744,Salvelinus alpinus,Finfish,Arctic Char,muscle,"Arctic Char, muscle",NA,NA,2.3,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,c745,Salvelinus alpinus,Finfish,Arctic Char,muscle,"Arctic Char, muscle",NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus alpinus,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.4600000381469727,temperate,fusiform / normal,benthopelagic,70,107,c748,Salvelinus alpinus,Finfish,Arctic Char,liver,"Arctic Char, liver",NA,NA,13,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,bc60,Salvelinus fontinalis,Finfish,Brook trout,muscle,"Brook trout, wild, female, flesh, raw",12.7,0.33,0.8,NA,NA,17.3,NA,fi4,"Canada, James Bay, Lac Serigny",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900060,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,bc61,Salvelinus fontinalis,Finfish,Brook trout,muscle,"Brook trout, wild, female, flesh, raw",3.1,0.18,0.8,NA,NA,16.4,NA,fi4,"Canada, James Bay, Wemindji",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900061,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c753,Salvelinus fontinalis,Finfish,Brook Trout,muscle,"Brook Trout, muscle",14.3,0.226,0.471,NA,NA,18.6,3.41,65,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c757,Salvelinus fontinalis,Finfish,Brook Trout,whole,"Brook Trout, whole",NA,NA,NA,NA,NA,15.6,5.2,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c759,Salvelinus fontinalis,Finfish,Brook Trout,whole,"Brook Trout, whole",NA,NA,NA,NA,NA,17.1,5.6,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c763,Salvelinus fontinalis,Finfish,Brook Trout,muscle,"Brook Trout, muscle",NA,NA,NA,NA,NA,18.5,1.6,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c765,Salvelinus fontinalis,Finfish,Brook Trout,muscle,"Brook Trout, muscle",9.3,0.3,0.5,0.112,0.322,23.5,1.8,2,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus fontinalis,1.75,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.74,temperate,fusiform / normal,benthopelagic,27,86,c766,Salvelinus fontinalis,Finfish,Brook Trout,muscle,"Brook Trout, muscle",38,1.2,0.46,NA,NA,18.6,2.6,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),filtering plankton,3.4,temperate,fusiform / normal,benthopelagic,200,127,af608,Salvelinus malma,Finfish,Dolly varden,muscle_skinless,"Dolly varden trout, skinless fillet,r aw",NA,NA,NA,NA,NA,19.8,5.4,fi195,"USA, Bristol Bay, Prince of Wales Islands",NA,NA,1976,0901912,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),filtering plankton,3.4,temperate,fusiform / normal,benthopelagic,200,127,c768,Salvelinus malma,Finfish,Dolly Varden Trout,muscle,"Dolly Varden Trout, muscle",NA,NA,NA,NA,NA,15.9,2.1,34,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),filtering plankton,3.4,temperate,fusiform / normal,benthopelagic,200,127,c769,Salvelinus malma,Finfish,Dolly Varden Trout,muscle,"Dolly Varden Trout, muscle",NA,NA,NA,NA,NA,19.9,6,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.539999961853028,temperate,fusiform / normal,benthopelagic,200,127,af608,Salvelinus malma,Finfish,Dolly varden,muscle_skinless,"Dolly varden trout, skinless fillet,r aw",NA,NA,NA,NA,NA,19.8,5.4,fi195,"USA, Bristol Bay, Prince of Wales Islands",NA,NA,1976,0901912,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.539999961853028,temperate,fusiform / normal,benthopelagic,200,127,c768,Salvelinus malma,Finfish,Dolly Varden Trout,muscle,"Dolly Varden Trout, muscle",NA,NA,NA,NA,NA,15.9,2.1,34,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus malma,4,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.539999961853028,temperate,fusiform / normal,benthopelagic,200,127,c769,Salvelinus malma,Finfish,Dolly Varden Trout,muscle,"Dolly Varden Trout, muscle",NA,NA,NA,NA,NA,19.9,6,27,NA,NA,NA,NA,NA,freshbrackmarine
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,bc1460,Salvelinus namaycush,Finfish,NA,muscle,"Trout, wild, meat, raw",7,0.5,0.4,NA,NA,21,3.9,fc003,"Canada, Northwest Territories, western Canadian Arctic, community of K áhbamit úé (Colville Lake)",1988 to 1990,"FAT- was analysed using AOAC 16.064 (1984), but it was not possible to find the original method",1994,0902377,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,bc1488,Salvelinus namaycush,Finfish,NA,muscle,"Trout, wild, meat, raw",NA,NA,NA,NA,NA,NA,NA,fc004,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),Retinols were analysed by HPLC; vitamin A was calculated as the sum of the all-trans retinol content + 75% of the 13-cis retinol + 40% of the all-trans dehydroretinol contents.,1993,0902405,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,bc1524,Salvelinus namaycush,Finfish,NA,muscle,"Trout, wild, meat, raw",NA,NA,NA,0.1,0.4,NA,3.9,fc006,"Canada, Northwest Territories, Sahtú (Hareskin), Dene/Metis (communities of Fort Good Hope and Colville Lake)",July/Aug 1988 (summer); Nov/Dec 1988 (winter); May/June 1990 (spring),tr=trace amount <0.05 g/100 g,1991,0902441,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,bc59,Salvelinus namaycush,Finfish,Lake trout,muscle,"Lake trout, wild, female, flesh, raw",3,0.2,0.5,NA,NA,15,NA,fi4,"Canada, James Bay, Lac Temoin",Aug-Sep 1993,trace for mineral values: <0.1 mcg/100g food (FW); trace for FA: <0.01g/100g food (FW),1996,0900059,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,c780,Salvelinus namaycush,Finfish,Lake Trout,muscle,"Lake Trout, muscle",6.1,0.3,0.4,0.072,0.232,20.9,1.4,2,NA,NA,NA,NA,NA,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,c781,Salvelinus namaycush,Finfish,Lake Trout,muscle,"Lake Trout, muscle",NA,0.478,0.21,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,fresh
Salvelinus namaycush,8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.77,temperate,fusiform / normal,benthopelagic,53,150,c782,Salvelinus namaycush,Finfish,Lake Trout,viscera,"Lake Trout, offal",NA,NA,NA,NA,NA,15.6,18.1,27,NA,NA,NA,NA,NA,fresh
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc140,Sander lucioperca,Finfish,Pike-perch,muscle,"Pike perch, wild, edible flesh, raw",NA,NA,NA,0.054579322,NA,NA,1.97,fi27,"Iran, Caspian sea, Anzalii/Babolsar/Torkaman",Nov 2006,FA converted using XFA,2010,0900140,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc148,Sander lucioperca,Finfish,Pike-perch,muscle,"Zander, wild, fillet, raw",NA,NA,NA,0.002842752,0.005952012,18.8,0.12,fi29,"Turkey, Seyhan Dam Lake",Oct 2002,FA converted using XFA,2005,0900148,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc149,Sander lucioperca,Finfish,Pike-perch,muscle,"Zander, wild, fillet, raw",NA,NA,NA,0.00251029,0.00835193,18.1,0.1,fi29,"Turkey, Eğirdir Lake",Oct 2002,FA converted using XFA,2005,0900149,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc154,Sander lucioperca,Finfish,Pike-perch,muscle,"Zander, wild, fillet, frozen",80.562,0.314,0.71,NA,NA,18.3,0.8,fi31,"Turkey, Konya, Beyşehir Lake",Dec 2005,PROT- (analyzed according to AOAC 1995),2009,0900154,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc155,Sander lucioperca,Finfish,Pike-perch,muscle,"Zander, wild, fillet, frozen",77.878,0.17,0.582,NA,NA,17.73,1.17,fi31,"Turkey, Adana, Seyhan Dam Lake",Dec 2005,PROT- (analyzed according to AOAC 1995),2009,0900155,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc170,Sander lucioperca,Finfish,Pike-perch,muscle_skinless,"Pike-perch, wild, skinless fillet, raw",54,0.7,0.9,NA,NA,20,0.6,fi32,"Greece, Evros River",Summer 1987,NA,1989,0900170,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc171,Sander lucioperca,Finfish,Pike-perch,muscle_skinless,"Pike-perch, wild, skinless fillet, raw",51,0.7,0.7,NA,NA,21,0.8,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900171,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc190,Sander lucioperca,Finfish,Pike-perch,muscle,"Zander, wild, muscle tissue, raw",NA,NA,NA,0.009422673,0.06509256,NA,0.39,fi34,"Turkey, Adana, Seyhan Dam Lake",NA,FA converted using XFA,2007,0900190,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc231,Sander lucioperca,Finfish,Pike-perch,muscle_skinless,"Pike-perch, wild, skinless, boneless fillet, raw",NA,NA,NA,0.0358448,0.0529336,NA,0.6,fi47,"Greece, Evros River",Jul-Aug 1987,FA converted using XFA,1991,0900231,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc350,Sander lucioperca,Finfish,Pike-perch,muscle,"Pike perch, wild, edible flesh, raw",NA,NA,0.074482,NA,NA,20.4,2,fi71,"Iran, Caspian sea",Nov,minerals expressed per DM - conversion to FW; all mineral values in brackets: values seem in many cases very low compared to reference data and no explanation is provided;,2009,0900369,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc66,Sander lucioperca,Finfish,Pike-perch,muscle_skinless,"Pike perch, wild, skinless fillet, raw",NA,NA,NA,0.033573,0.109269,18.01,0.95,fi7,"Poland, Talty-Ryńskie Lake",Nov,NA,2003,0900066,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc795,Sander lucioperca,Finfish,NA,muscle_skinless,"Pikeperch, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,1.1,fi122,"Finland, Baltic Sea",May 1993,NA,1995,0900814,freshbrack
Sander lucioperca,3.6458333333333335,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.04,temperate,fusiform / normal,pelagic,30,100,bc84,Sander lucioperca,Finfish,Pike-perch,muscle,"Pike perch, wild, boneless fillet, raw",NA,NA,1.32,NA,NA,18.01,0.74,fi16,"Turkey, Seyhan dam lake",NA,FOL-: analyzed using HPLC,2009,0900084,freshbrack
Sander vitreus,2.9633333333333334,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.16,subtropical,elongated,demersal,27,107,bc904,Sander vitreus,Finfish,Walleye,muscle,"Walleye pike, wild, fillet, raw",NA,NA,NA,NA,NA,17.68,NA,fi141,"USA, NY, Ithaca, Cayuga Lake",NA,NA,1980,0900923,freshbrack
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc276,Sardinella aurita,Finfish,Round sardinella,muscle,"Round sardinella, white muscle flesh, raw",NA,NA,NA,0.318495,0.0780625,NA,3.5,fi58,Senegal (Senegalese waters; samples from local fish market of Dakar),"Jan, Jul-Oct 1993",FA converted using XFA,2002,0900295,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc277,Sardinella aurita,Finfish,Round sardinella,muscle,"Round sardinella, red muscle flesh, raw",NA,NA,NA,1.368863,0.891139,NA,10,fi58,Senegal (Senegalese waters; samples from local fish market of Dakar),"Jan, Jul-Oct 1993",FA converted using XFA,2002,0900296,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc304,Sardinella aurita,Finfish,Round sardinella,muscle,"Sardine, wild, fillet, raw",NA,NA,NA,0.36205767,0.41156983,NA,3.47,fi66,"Turkey, local fish market (Meiterranean and Aegean Sea)",NA,FA converted using XFA,2007,0900323,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc823,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,19.65,9.45,fi126,"Tunisia, Gulf of Gabés",Dec,NA,2010,0900842,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc824,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,0.9418079,0.83906522,19.62,9.33,fi126,"Tunisia, Gulf of Gabés",Feb,NA,2010,0900843,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc825,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,19.91,7.42,fi126,"Tunisia, Gulf of Gabés",Apr,NA,2010,0900844,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc826,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,20.07,4.87,fi126,"Tunisia, Gulf of Gabés",Jun,NA,2010,0900845,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc827,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,20.36,2.5,fi126,"Tunisia, Gulf of Gabés",Jul,NA,2010,0900846,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc828,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,19.79,5.77,fi126,"Tunisia, Gulf of Gabés",Sep,NA,2010,0900847,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc829,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,19.82,7.65,fi126,"Tunisia, Gulf of Gabés",Oct,NA,2010,0900848,brackmarine
Sardinella aurita,0.66,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,3.04,subtropical,fusiform / normal,reef-associated,350,36,bc830,Sardinella aurita,Finfish,Round sardinella,whole,"Round sardinella, wild, whole fish, raw",NA,NA,NA,NA,NA,19.59,10.25,fi126,"Tunisia, Gulf of Gabés",Nov,NA,2010,0900849,brackmarine
Sardinops sagax,1,plants/detritus+animals (troph. 2.2-2.79),selective plankton feeding,2.61,subtropical,fusiform / normal,pelagic-neritic,200,39.5,bc285,Sardinops sagax,Finfish,South American pilchard,whole,"Sardine, wild, whole fish, raw",NA,NA,NA,0.669362517,1.912046035,NA,6.43,fi59,"USA, Alaska, British Columbia, Pacific Northwest waters",Summer,FA converted using XFA,2009,0900304,marine
Scardinius erythrophthalmus,4,mainly animals (troph. 2.8 and up),variable,2.89,temperate,fusiform / normal,benthopelagic,NA,NA,bc172,Scardinius erythrophthalmus,Finfish,Rudd,muscle_skinless,"Rudd, wild, skinless fillet, raw",61,0.5,0.6,NA,NA,19,2.5,fi32,"Greece, Evros River",Summer 1987,NA,1989,0900172,freshbrack
Scardinius erythrophthalmus,4,mainly animals (troph. 2.8 and up),variable,2.89,temperate,fusiform / normal,benthopelagic,NA,NA,bc173,Scardinius erythrophthalmus,Finfish,Rudd,muscle_skinless,"Rudd, wild, skinless fillet, raw",58,0.6,0.6,NA,NA,19,1.8,fi32,"Greece, Evros River",Summer 1988,NA,1989,0900173,freshbrack
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc291,Scomber japonicus,Finfish,Chub mackerel,muscle_skinless,"Mackerel, wild, skinless muscle tissue, raw",NA,NA,NA,0.054496688,0.287629461,21.73,0.93,fi63,"Italy, Adriatic Sea, Gulf of Manfredonia",NA,FA converted using XFA,2009,0900310,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc478,Somber japonicus,Finfish,Chub mackerel,muscle_skinless,"Chub mackerel, wild, skinless fillet, raw",NA,NA,NA,0.007219944,0.030212316,22.63,0.18,fi82,"Turkey, Iskenderun Bay, Mediterranean Sea",Jan 2004,FA converted using XFA,2008,0900497,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc479,Somber japonicus,Finfish,Chub mackerel,muscle_skinless,"Chub mackerel, wild, skinless fillet, raw",NA,NA,NA,0.064239966,0.247839375,20.56,1.57,fi82,"Turkey, Iskenderun Bay, Mediterranean Sea",Apr 2004,FA converted using XFA,2008,0900498,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc480,Somber japonicus,Finfish,Chub mackerel,muscle_skinless,"Chub mackerel, wild, skinless fillet, raw",NA,NA,NA,0.034610989,0.136845296,21.62,1.01,fi82,"Turkey, Iskenderun Bay, Mediterranean Sea",Oct 2004,FA converted using XFA,2008,0900499,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc887,Scomber japonicus,Finfish,Chub mackerel,muscle,"Chub mackerel, wild, fillet, frozen",NA,NA,NA,0.07855154,0.28699017,22.2,1.9,fi138,"USA, Gulf of Mexico",May 1991,FA converted using XFA,1997,0900906,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc888,Scomber japonicus,Finfish,Chub mackerel,muscle,"Chub mackerel, wild, fillet, frozen",NA,NA,NA,0.30790002,1.3226691,20.7,7.9,fi138,"USA, Gulf of Mexico",Oct 1992,FA converted using XFA,1997,0900907,marine
Scomber japonicus,2,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),3.42,subtropical,fusiform / normal,pelagic-neritic,300,64,bc889,Scomber japonicus,Finfish,Chub mackerel,muscle,"Chub mackerel, wild, fillet, frozen",NA,NA,NA,0.26101162,1.5055834,23.5,7.2,fi138,"USA, Gulf of Mexico",Oct 1992,FA converted using XFA,1997,0900908,marine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc1411,Scomber scombrus,Finfish,Atlantic mackerel,muscle_organs,"Mackerel, wild, raw",15,0.8,0.62,1.76,2.8,17,25,fi361,"Norway, The North Sea",Oct 2007,NA,2012,0902328,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc405,Scomber scombrus,Finfish,Atlantic mackerel,muscle,"Atlantic mackerel, wild, edible flesh, raw",NA,NA,NA,NA,NA,NA,NA,fi80,"Greece, Aegean Sea",NA,"mean of lipid value (fall, winter) used for FA calculation; FAT- (analyzed according to AOAC 1975); FA converted using XFA; FA tr= <0.1g/100g fillet",1995,0900424,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc447,Scomber scombrus,Finfish,Atlantic mackerel,muscle,"Atlantic mackerel, wild, edible flesh, raw",NA,NA,NA,NA,NA,18,10,fi80,"Greece, Aegean Sea",Fall,FAT- (analyzed according to AOAC 1975),1995,0900466,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc657,Scomber scombrus,Finfish,Atlantic mackerel,muscle_skinless,"Mackerel, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,18.7,fi105,"Unknown, East of Copensay",Sep 2001,NA,2006,0900676,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc658,Scomber scombrus,Finfish,Atlantic mackerel,muscle_skinless,"Mackerel, wild, skinless fillet, raw",NA,NA,NA,NA,NA,NA,16.9,fi105,"Unknown, East of Copensay",Sep 2001,NA,2006,0900677,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc679,Scomber scombrus,Finfish,Atlantic mackerel,muscle_skinless,"Atlantic macerel, wild, fillet, less skin, raw",NA,NA,NA,NA,NA,17.5,20.6,fi116,"Canada, Mill Cove, Halifax",Oct 1982,NA,1986,0900698,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,bc680,Scomber scombrus,Finfish,Atlantic mackerel,muscle_skinless,"Atlantic macerel, wild, fillet, less skin, raw",NA,NA,NA,NA,NA,18.3,1.8,fi116,"Canada, Mill Cove, Halifax",Jun 1983,NA,1986,0900699,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c797,Scomber scombrus,Finfish,Atlantic Mackerel,muscle,"Atlantic Mackerel, muscle",8,1.01,0.639,NA,NA,19.6,9.6,27,NA,NA,NA,NA,NA,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c799,Scomber scombrus,Finfish,Atlantic Mackerel,muscle,"Atlantic Mackerel, muscle, light muscle",NA,NA,NA,NA,NA,NA,9.6,55,NA,NA,NA,NA,NA,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c800,Scomber scombrus,Finfish,Atlantic Mackerel,muscle,"Atlantic Mackerel, muscle, dark muscle",NA,NA,NA,NA,NA,18.6,11.8,27,NA,NA,NA,NA,NA,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c801,Scomber scombrus,Finfish,Atlantic Mackerel,muscle,"Atlantic Mackerel, muscle, dark muscle",NA,NA,NA,NA,NA,NA,12.3,55,NA,NA,NA,NA,NA,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c802,Scomber scombrus,Finfish,Atlantic Mackerel,viscera,"Atlantic Mackerel, offal",NA,NA,NA,NA,NA,14.7,17.7,27,NA,NA,NA,NA,NA,brackmarine
Scomber scombrus,1.75,mainly animals (troph. 2.8 and up),variable,3.73,temperate,fusiform / normal,pelagic-neritic,1000,60,c808,Scomber scombrus,Finfish,Atlantic Mackerel,muscle,"Atlantic Mackerel, muscle",NA,NA,NA,1.45,2.16,NA,NA,55,NA,NA,NA,NA,NA,brackmarine
Scomberomorus commerson,1.8,mainly animals (troph. 2.8 and up),hunting macrofauna (predator),4.380000114440918,tropical,fusiform / normal,pelagic-neritic,70,240,bc36,Scomberomorus commerson,Finfish,Narrow-barred spanish mackerel,muscle_organs,"Spanish mackerel (portion), raw",NA,NA,NA,NA,NA,21.5,3.6,fi2,"Thailand, Gulf of Thailand",Oct-Nov,NNP calc. as % of TN,1999,0900036,marine
