seanuts_id2,species1,nutrient,concentration,feeding_mode,feeding_level,EnvTemp,DemersPelag,BodyShapeI,part,log_concentration,log_length,bulk_trophic_level,DepthRangeDeep,AgeMatMin,realm,source,reference
NA,Salvelinus namaycush,mg_mg,27,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,3.295836866004329,5.0106352940962555,3.77,53,8,fresh,seanuts,24
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,20
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,1
NA,Salvelinus namaycush,mg_mg,20.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,3.0349529867072724,5.0106352940962555,3.77,53,8,fresh,seanuts,2
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,mg_mg,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,56
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,83
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,84
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,24
NA,Salvelinus namaycush,epa,0.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,-2.3025850929940455,5.0106352940962555,3.77,53,8,fresh,seanuts,20
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,1
NA,Salvelinus namaycush,epa,0.072,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,-2.631089159966082,5.0106352940962555,3.77,53,8,fresh,seanuts,2
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,epa,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,56
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,83
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,84
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,24
NA,Salvelinus namaycush,dha,0.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,-0.916290731874155,5.0106352940962555,3.77,53,8,fresh,seanuts,20
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,1
NA,Salvelinus namaycush,dha,0.232,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,-1.4610179073158271,5.0106352940962555,3.77,53,8,fresh,seanuts,2
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,27
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,43
NA,Salvelinus namaycush,dha,NA,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,benthopelagic,fusiform / normal,NA,NA,5.0106352940962555,3.77,53,8,fresh,seanuts,56
68,Sander lucioperca,protein,18.300000000000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.9069010598473755,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
73,Sander lucioperca,protein,17.730000000000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.8752581200861167,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
1002,Sander lucioperca,fapun_all_g,0.22851299999999997,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-1.4761621774872171,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1004,Sander lucioperca,fapun_all_g,0.020526500000000003,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-3.8860385447061803,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,fapun_all_g,0.016798079999999993,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-4.08649068481832,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1008,Sander lucioperca,fapun_all_g,0.390360803,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,-0.9406838316354724,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
1009,Sander lucioperca,fapun_all_g,0.11128727999999999,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.1956403129460336,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
1002,Sander lucioperca,fapun3,0.174667,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-1.7448739749340791,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1004,Sander lucioperca,fapun3,0.011171799999999999,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-4.494362532957049,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,fapun3,0.009933480000000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-4.61184440914722,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1009,Sander lucioperca,fapun3,0.07454147999999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.5963995300167855,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
216,Sander lucioperca,protein,20.4,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,3.0155349008501706,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
1002,Sander lucioperca,protein,18.009999999999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.8909271591878647,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1003,Sander lucioperca,protein,18.009999999999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.8909271591878647,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
1004,Sander lucioperca,protein,18.1,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.89591193827178,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,protein,18.800000000000004,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,2.9338568698359038,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1002,Sander lucioperca,epa,0.033573,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-3.3940331064781373,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1004,Sander lucioperca,epa,0.0025102900000000014,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-5.987356994663822,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,epa,0.002842752,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-5.862982681915586,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1008,Sander lucioperca,epa,0.054579322,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,-2.9081001859117492,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
1009,Sander lucioperca,epa,0.009422673000000003,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-4.664636472683758,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
1002,Sander lucioperca,dha,0.10926900000000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.2139425470840792,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1004,Sander lucioperca,dha,0.00835193,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-4.7852626291030305,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,dha,0.005952012000000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-5.124025965324346,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1009,Sander lucioperca,dha,0.06509256,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.7319450220130093,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
68,Sander lucioperca,ca_mg,80.56000000000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,4.389002248410307,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
73,Sander lucioperca,ca_mg,77.87999999999997,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,4.3551691805039985,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
216,Sander lucioperca,ca_mg,14.16,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,2.6504210882655737,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
68,Sander lucioperca,fat_g,0.8,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.2231435513142097,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
73,Sander lucioperca,fat_g,1.17,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,0.1570037488096647,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
216,Sander lucioperca,fat_g,2,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,0.6931471805599453,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
1002,Sander lucioperca,fat_g,0.95,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.05129329438755058,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Jankowska B., Zakęś Z., Żmijewski T., Szczepkowski M. (2003) A comparison of selected quality features of the tissue and slaughter yield of wild and cultivated pikeperch (Sander lucioperca). Eur Food Res Technol 217: 401-405"
1003,Sander lucioperca,fat_g,0.74,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.3011050927839216,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
1004,Sander lucioperca,fat_g,0.10000000000000002,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.3025850929940455,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1005,Sander lucioperca,fat_g,0.12000000000000001,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-2.120263536200091,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Celik M., Diler A., Küçükgülmez A. (2005). A comparison of the proximate compositions and fatty acid profiles of zander (Sander lucioperca) from two different regions and climatic conditions. Food Chemistry 92: 637-641"
1008,Sander lucioperca,fat_g,1.97,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,0.6780335427498971,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895"
1009,Sander lucioperca,fat_g,0.39,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.941608539858445,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özogul Y., Özogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223"
68,Sander lucioperca,zn_mg,0.71,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.342490308946776,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
73,Sander lucioperca,zn_mg,0.582,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-0.5412848312506993,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
216,Sander lucioperca,zn_mg,0.074482,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,-2.597197793527455,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
1003,Sander lucioperca,zn_mg,1.32,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,0.27763173659827955,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Özyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356"
68,Sander lucioperca,fe_mg,0.31,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-1.171182981502945,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
73,Sander lucioperca,fe_mg,0.17,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,NA,-1.7719568419318752,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Öksüz A., Küçükgülmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427"
216,Sander lucioperca,fe_mg,0.08999999999999998,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),temperate,pelagic,fusiform / normal,muscle,-2.4079456086518722,4.605170185988092,4.04,30,3.6458333333333335,freshbrack,seanuts,"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44"
1031,Sardinella aurita,fapun_all_g,2.70555724,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),subtropical,reef-associated,fusiform / normal,NA,0.9953078947794546,3.58351893845611,3.04,350,0.66,brackmarine,seanuts,"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573"
1038,Sardinella aurita,fapun_all_g,0.959917002,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),subtropical,reef-associated,fusiform / normal,NA,-0.04090845450781217,3.58351893845611,3.04,350,0.66,brackmarine,seanuts,"Özogul Y., Özogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638"
1039,Sardinella aurita,fapun_all_g,2.8847179999999994,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),subtropical,reef-associated,fusiform / normal,NA,1.0594271482154456,3.58351893845611,3.04,350,0.66,brackmarine,seanuts,"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402"
1040,Sardinella aurita,fapun_all_g,0.6088875,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),subtropical,reef-associated,fusiform / normal,NA,-0.4961217574007945,3.58351893845611,3.04,350,0.66,brackmarine,seanuts,"Njinkoué J.-M., Barnathan G., Miralles J., Gaydou E.-M., Samb A. (2002). Lipids and fatty acids in muscle, liver and skin of three edible fish from the Senegalese coast: Sardinella maderensis, Sardinella aurita and Cephalopholis taeniops. Comparative Biochemistry and Physiology Part B 131: 395-402"
1031,Sardinella aurita,fapun3,2.1404725,selective plankton feeding,plants/detritus+animals (troph. 2.2-2.79),subtropical,reef-associated,fusiform / normal,NA,0.7610265990547889,3.58351893845611,3.04,350,0.66,brackmarine,seanuts,"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573"
