ref_info,ref_number,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,notes
"Nurnadia A.A., Azrina A., Amin I. (2011). Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia. International Food Research Journal 18: 137-148",126,"Nurnadia, AA; Azrina, A; Amin, I; ",Proximate composition and energetic value of selected marine fish and shellfish from the West coast of Peninsular Malaysia.,International Food Research Journal,18,1,,2011,,
OehlenschlÍ_ger J. (1991). Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae. Food Chemistry 40: 159-167,127,"Oehlenschl_ger, J; ",Chemical composition of the flesh and other tissues of Antarctic fish species of the families Channichthyidae and Nototheniidae,Food chemistry,40,2,159-167,1991,Elsevier,
"Íƒkland H.M.W., Stoknes I.S., Remme J.F., Kjerstad M., Synnes M. (2005). Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs. Comp Biochem Physiolog B 140: 437-443",128,"Ëkland, Hege MW; Stoknes, Iren S; Remme, Jannicke F; Kjerstad, Margareth; Synnes, Marianne; ","Proximate composition, fatty acid and lipid class composition of the muscle from deep-sea teleosts and elasmobranchs",Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,140,3,437-443,2005,Elsevier,
"Í_ksÍ_z A., KÍ_Í_Í_kgÍ_lmez A., Diler A., Celik M., Koyuncu E. (2009). Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes in Turkey. Journal of Muscle Foods 20: 420-427",129,"€KS_Z, ABDULLAH; K___KG_LMEZ, AYG_L; Diler, Abdullah; Celik, Mehmet; Koyuncu, Esra; ",Research note: A comparison of the chemical composition of zander (Sander lucioperca) living in different lakes of Turkey,Journal of Muscle Foods,20,4,420-427,2009,Wiley Online Library,
"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",130,"Oku, Takahiro; Sugawara, Akira; Choudhury, Malay; Komatsu, Masaharu; Yamada, Shoji; Ando, Seiichi; ",Lipid and fatty acid compositions differentiate between wild and cultured Japanese eel (Anguilla japonica),Food Chemistry,115,2,436-440,2009,Elsevier,
"Oliveira A.C.M., Bechtel P.J. (2005). Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow-tooth flounder (Atheresthes stomias), pacivic cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma). Journal of Muscle Foods 17:20-33",131,"Oliveira, ACM; Bechtel, PJ; ","Lipid analysis of fillets from giant grenadier (Albatrossia pectoralis), arrow_tooth flounder (Atheresthes stomias), Pacific cod (Gadus macrocephalus) and walleye pollock (Theragra chalcogramma)",Journal of Muscle Foods,17,1,20-33,2006,Wiley Online Library,
"Olsson G.B., Olsen R.L., CarlehÍ_g M., Ofstad R. (2003). Seasonal variations in chemical and sensory characteristics of farmed and wild Atlantic halibut (Hippoglossus hippoglossus). Aquaculture 217: 191-205",132,"Olsson, Gunn Berit; Olsen, Ragnar L; Carleh_g, Mats; Ofstad, Ragni; ",Seasonal variations in chemical and sensory characteristics of farmed and wild Atlantic halibut (Hippoglossus hippoglossus),Aquaculture,217,04-Jan,191-205,2003,Elsevier,
"Orban E., Di Lana G., Nevigato T., Casini I., Caproni R., Santaroni G., Giulini G. (2006). Nutritional and commercial quality of the striped venus clam, Chamelea gallina, from the Adriatic sea. Food Chemistry 101: 1063-1070",133,"Orban, Elena; Di Lena, Gabriella; Nevigato, Teresina; Casini, Irene; Caproni, Roberto; Santaroni, Generoso; Giulini, Giuliana; ","Nutritional and commercial quality of the striped venus clam, Chamelea gallina, from the Adriatic sea",Food Chemistry,101,3,1063-1070,2007,Elsevier,
"Orban E., Masci M., Nevigato T., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2006). Nutritional quality and safety of whitefish (Coregonus lavaretus) from Italian lakes. Journal of Food Composition and Analysis 19: 737-746",134,"Orban, Elena; Masci, Maurizio; Nevigato, Teresina; Di Lena, Gabriella; Casini, Irene; Caproni, Roberto; Gambelli, Loretta; De Angelis, Paola; Rampacci, Massimo; ",Nutritional quality and safety of whitefish (Coregonus lavaretus) from Italian lakes,Journal of Food Composition and Analysis,19,07-Jun,737-746,2006,Elsevier,
"Orban E., Nevigato T., Masci M., Di Lena G., Casini I., Caproni R., Gambelli L., De Angelis P., Rampacci M. (2007). Nutritional quality and safety of European perch (Perca fluviatilis) from three lakes of central Italy. Food Chem 100: 482-490",135,"Orban, Elena; Nevigato, Teresina; Masci, Maurizio; Di Lena, Gabriella; Casini, Irene; Caproni, Roberto; Gambelli, Loretta; De Angelis, Paola; Rampacci, Massimo; ",Nutritional quality and safety of European perch (Perca fluviatilis) from three lakes of Central Italy,Food Chemistry,100,2,482-490,2007,Elsevier,
"Osako K., Saito H., Weng W., Kuwahara K., Tanaka M. (2009). Lipid characteristics of coastal migratory Sarda orientalis tissues. Fish Sci 75: 1055-1066",136,"Osako, Kazufumi; Saito, Hiroaki; Weng, Wuyin; Kuwahara, Koichi; Tanaka, Munehiko; ",Lipid characteristics of coastal migratory Sarda orientalis tissues,Fisheries Science,75,4,1055,2009,Springer,
"Osibona A., Kusemiju K., Akande G.R. (2009). Fatty acid composition and amino acid profile of two freshwater species, african catfish (Clarias gariepinus) and tilapia (Tilapia zillii). African Journal of Food Agriculture Nutrition and Development 9(1): 608-621",137,"Osibona, AO; Kusemiju, K; Akande, GR; ","Fatty acid composition and amino acid profile of two freshwater species, African catfish (Clarias gariepinus) and tilapia (Tilapia zillii).","African Journal of Food, Agriculture, Nutrition and Development",9,1,608-621,2009,,
"Osman H., Suriah A.R., Law E.C. (2001). Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters. Food Chemistry 73: 55-60",138,"Osman, H; Suriah, AR; Law, EC; ",Fatty acid composition and cholesterol content of selected marine fish in Malaysian waters,Food chemistry,73,1,55-60,2001,Elsevier,
"Ostermeyer U., Schmidt T. (2006). vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",139,"Ostermeyer, Ute; Schmidt, Thomas; ",Vitamin D and provitamin D in fish,European Food Research and Technology,222,04-Mar,403,2006,Springer,
"Ostermeyer U., Schmidt T. (2006). Vitamin D and provitamin D in fish. Eur Food Res Technol 222:403-413",140,"Ostermeyer, Ute; Schmidt, Thomas; ",Vitamin D and provitamin D in fish,European Food Research and Technology,222,04-Mar,403,2006,Springer,
"Otitologbon S.A., Agbaji E.B., Peters O.A., Oniye S.J. (1997). Proximate and mineral composition of three Nigerian freshwater fishes. J Sci Food Agric 75: 312-314",141,"Otitologbon, Stephen A; Agbaji, Edith B; Peters, Olufemi A; Oniye, Sunday J; ",Proximate and mineral composition of three Nigerian freshwater fishes,Journal of the Science of Food and Agriculture,75,3,312-314,1997,Wiley Online Library,
"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",142,"Otwell, W Steven; Rickards, William L; ","Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition",Aquaculture,26,02-Jan,67-76,1981,Elsevier,
"Ould Ahmed Louly A.W., Gaydou E.M., Ould El Kabir M.V. (2011). Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba. Food Chemistry 124:24-28",143,"Louly, Abdel Wedoud Ould Ahmed; Gaydou, Emile M; El Kebir, Mohamed Vall Ould; ","Muscle lipids and fatty acid profiles of three edible fish from the Mauritanian coast: Epinephelus aeneus, Cephalopholis taeniops and Serranus scriba",Food Chemistry,124,1,24-28,2011,Elsevier,
"Í_zden Í_. (2010). Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation. International Journal of Food Science and Technology 45: 578-586",144,"Äzden, Äzkan; ","Micro, macro mineral and proximate composition of Atlantic bonito and horse mackerel: a monthly differentiation",International journal of food science & technology,45,3,578-586,2010,Wiley Online Library,
"Í_zden Í_., Erkan N., Ulusoy Å_. (2010). Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus). Environ Monit Assess 170: 353-363",145,"Äzden, Äzkan; Erkan, Nuray; Ulusoy, _afak; ","Determination of mineral composition in three commercial fish species (Solea solea, Mullus surmuletus, and Merlangius merlangus)",Environmental monitoring and assessment,170,04-Jan,353-363,2010,Springer,
"Í_zden Í_., Erkan N., Ulusoy S.(2009). Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus). International Journal of Food Sciences and Nutrition 60: 402 - 412",146,"€zden, €zkan; Erkan, Nuray; Ulusoy, _afak; ",Seasonal variations in the macronutrient mineral and proximate composition of two clams (Chamelea gallina and Donax trunculus),International journal of food sciences and nutrition,60,5,402-412,2009,Taylor & Francis,
"Í_zden, Í_. and Erkan, N., 2011. A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species. British Food Journal, 113(4), pp.457-469.",147,"€zden, €zkan; Erkan, Nuray; ",A preliminary study of amino acid and mineral profiles of important and estimable 21 seafood species,British Food Journal,,,,2011,Emerald Group Publishing Limited,
"Ozogul Y., Duysak O., Ozogul F., Í_zkÍ_tÍ_k A.S., TÍ_reli C. (2008). Seasonal effects in the nutritional quality of the body structural tissue of cephalopods. Food Chemistry 108: 847-852",148,"Ozogul, Yesim; Duysak, Onder; Ozogul, Fatih; €zkªtªk, Ali Serhat; Tªreli, Canan; ",Seasonal effects in the nutritional quality of the body structural tissue of cephalopods,Food Chemistry,108,3,847-852,2008,Elsevier,
"Í_zogul Y., Í_zogul F. (2007). Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas. Food Chemistry 100: 1634-1638",149,"Äzogul, Yesim; Äzogul, Fatih; ","Fatty acid profiles of commercially important fish species from the Mediterranean, Aegean and Black Seas",Food Chemistry,100,4,1634-1638,2007,Elsevier,
"Í_zogul Y., Í_zogul F., Alagoz S. (2007). Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study. Food Chemistry 103: 217-223",150,"Äzogul, Yesim; Äzogul, Fatih; Alagoz, Sibel; ",Fatty acid profiles and fat contents of commercially important seawater and freshwater fish species of Turkey: A comparative study,Food chemistry,103,1,217-223,2007,Elsevier,
"Í_zogul Y., Í_zogul F., Cicek E., Polat A., Kuley E. (2009). Fat content and fatty acid composition of 34 marine water fish species from the Mediterranean Sea. International Journal of Food Science and Nutrition 60(6): 464-475",151,"Äzogul, Yes_m; Äzogul, Fatiì h; äiì çek, Erdo_an; Polat, Abdurrahman; Kuley, Esmeray; ",Fat content and fatty acid compositions of 34 marine water fish species from the Mediterranean Sea,International journal of food sciences and nutrition,60,6,464-475,2009,Taylor & Francis,
"Í_zyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",152,"€zyurt, Gªlsªn; Polat, Abdurrahman; ",Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation,European Food Research and Technology,222,04-Mar,316-320,2006,Springer,
"Í_zyurt G. Duysak Í_., Akamca E., Tureli C. (2006). Seasonal changes of fatty acids of cuttlefish Sepia officinalis L. (Mollusca: Cephalopoda) in the north eastern Mediterranean sea. Food Chemistry 95: 382-385",153,"Äzyurt, Gulsun; Duysak, Änder; Akamca, Erhan; Tureli, Canan; ",Seasonal changes of fatty acids of cuttlefish Sepia officinalis L.(Mollusca: Cephalopoda) in the north eastern Mediterranean sea,Food chemistry,95,3,382-385,2006,Elsevier,
"Í_zyurt G., Polat A., Loker G.B. (2009). vitamin And mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis). Turk J Vet Anim Sci 33(4): 351-356",154,"€zyurt, Gªlsªn; Polat, Abdurrahman; Loker, Gªl Bringen; ","Vitamin and mineral content of pike perch (Sander lucioperca), common carp (Cyprinus carpio), and European catfish (Silurus glanis)",Turkish Journal of Veterinary and Animal Sciences,33,4,351-356,2009,The Scientific and Technological Research Council of Turkey,
"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",155,"Papan, F; Moghaddam, AZ; ",Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content,,,,,2008,"Asian Network for Scientific Information, Pakistan",
"Perea A. GÍ_mez E. Mayorga Y., Triana C.Y. (2008). CaracterizaciÍ_n nutricional de pescados de produccion y consumo regional en Bucaramanga, Colombia. Archivos Latinoamericanos de Nutricion 58(1): 91-97",156,"Perea, Aide; Gomez, Elieth; Mayorga, Yamile; Triana, Cora Yohanna; ","Nutritional characterization of produced fish for human consumption in Bucaramanga, Colombia",Archivos Latinoamericanos de Nutriciãn,58,1,91-97,2008,,
"Phillips K.L., Jackson G.D., Nichols P.D. (2001). Prediation on myctophids by the squid Moroteuthis ingens around Macquarie and Heard Islands: stomach content and fatty acid analyses. Mar Ecol Progr Ser 215: 179-189",157,"Phillips, Katrina L; Jackson, George D; Nichols, Peter D; ",Predation on myctophids by the squid Moroteuthis ingens around Macquarie and Heard Islands: stomach contents and fatty acid analyses,Marine Ecology Progress Series,215,,179-189,2001,,
"Pirestani S., Ali Sahari M., Barzegar M., Seyfabadi S.J. (2009). Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea. International Food Research Journal 16: 39-44",158,"Pirestani, S., Ali Sahari, M., Barzegar, M., & Seyfabadi, S. J.",Chemical compositions and minerals of some commercially important fish species from the South Caspian Sea.,"International Food Research Journal,",16,1,39-44,2009,,
"Pirestani S., Sahari M.A., Barzegar M., Nikoopour H. (2010). Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea. J Food Biochem 34: 886-895",159,"Pirestani, S; Sahari, MA; Barzegar, M; Nikoopour, H; ","Lipid, cholesterol and fatty acid profile of some commercially important fish species from south Caspian Sea",Journal of Food Biochemistry,34,4,886-895,2010,Wiley Online Library,
"Pirini M., Testi S., Ventrella V., Pagliarani A., Badiani A. (2010). Blue-back fish: Fatty acid profile in selected seasons and retention upon baking. Food Chemistry 123: 306-314",160,"Pirini, Maurizio; Testi, Silvia; Ventrella, Vittoria; Pagliarani, Alessandra; Badiani, Anna; ",Blue-back fish: Fatty acid profile in selected seasons and retention upon baking,Food chemistry,123,2,306-314,2010,Elsevier,
"Polat A., Kuzu S. Í_zyurt G., Tokur B. (2009). Fatty acid composition of red mullet (Mullus barbatus): a seasonal differntiation. Journal of Muscle Foods 20:70-78",161,"Polat, Abdurrahman; Kuzu, Solmaz; Oezyurt, Guelsuen; Tokur, Bahar; ",Fatty acid composition of red mullet (Mullus barbatus): a seasonal differentiation,Journal of Muscle Foods,20,1,70-78,2009,Wiley Online Library,
"Procopia de Moura A.F., Torres R.P., Mancini - Filho J., Filho A.T. (2002). Caracterizacao da fracao lipidica de amostras comercias de camarao - rosa. Archivos Latinamericanos de Nutricion 52: 207 - 211",162,"Figueiredo Procãpio de Moura, Andr_a; Pavan Torres, Ros_ngela; Mancini-Filho, Jorge; Tenuta Filho, Alfredo; ",Caracterizaç o da fraç o lipêdica de amostras comerciais de camar o-rosa,Archivos latinoamericanos de nutricion,52,2,207-211,2002,Archivos Latinoamericanos de Nutriciãn,
"Puwastien P., Judprasong K., Kettwan E., Vasanachitt K., Nakngamanong Y., Bhattacharjee L. (1999) Proximate composition of raw and cooked thai freshwater and marine fish. J Food Comp Anal 12: 9-16",163,"Puwastien, Prapasri; Judprasong, Kunchit; Kettwan, Eakkarach; Vasanachitt, Kriengkrai; Nakngamanong, Yupaporn; Bhattacharjee, Lalita; ",Proximate composition of raw and cooked Thai freshwater and marine fish,Journal of Food Composition and Analysis,12,1,16-Sep,1999,Elsevier,
"Ramos Filho M.M., Ramos M.I.L., Hiane P.R., De Souza E.M.T. (2010) Nutritional value of seven freshwater fish species from the Brazilian Pantanal. J Am Oil Chem Soc 87: 1461-1467",164,"Ramos Filho, Manoel Mendes; Ramos, Maria Isabel Lima; Hiane, Priscila Aiko; de Souza, Elizabeth Maria Tal_; ",Nutritional value of seven freshwater fish species from the Brazilian Pantanal,Journal of the American Oil Chemists' Society,87,12,1461-1467,2010,Springer,
"Rasoarahona J.R.E., Barnathan G., Bianchini J.-P., Gaydou E.M. (2005). Influence of season on the lipid content and fatty acid profiles of three tilapia species (Oreochromis niloticus, O. macrochir and Tilapia rendalli) from Madagascar. Food Chemistry 91:683-694",165,"Rasoarahona, Jean RE; Barnathan, Gilles; Bianchini, Jean-Pierre; Gaydou, Emile M; ","Influence of season on the lipid content and fatty acid profiles of three tilapia species (Oreochromis niloticus, O. macrochir and Tilapia rendalli) from Madagascar",Food Chemistry,91,4,683-694,2005,Elsevier,
"Rasoarahona J.R.E., Ramanoelina P.A.R., Bianchini J.-P., Gaydou E.M. (2008). Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters. Journal of the American Oil Chemist's Society 85(5): 435-440",166,"Rasoarahona, JRE; Ramanoelina, PAR; Bianchini, J-P; Gaydou, EM; ",Muscle lipids and fatty acid profiles of the sea catfish (Arius madagascariensis) in Madagascar inland waters,Journal of the American Oil Chemists' Society,85,5,435-440,2008,Springer,
"Reale A., Ziino M., Ottolenghi F., Pelusi P., Romeo V., Condurso C., Sanfilippo M. (2006). Chemical composition and nutritional value of some marine species from the Egadi Islands. Chemistry and Ecology 22(Suppl 1): 173-179",167,"Reale, Alessandra; Ziino, Marisa; Ottolenghi, Francesca; Pelusi, Paolo; Romeo, Vincenza; Condurso, Concetta; Sanfilippo, Marilena; ",Chemical composition and nutritional value of some marine species from the Egadi Islands,Chemistry and Ecology,22,sup1,S173-S179,2006,Taylor & Francis,
"Rebah F.B., Abdelmouleh A., Kammoun W., Yezza A. (2010). Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from Tunisian coast. Journal of the Marine Biological Association of the United Kingdom 90(3): 569-573",168,"Rebah, F Ben; Abdelmouleh, A; Kammoun, W; Yezza, A; ",Seasonal variation of lipid content and fatty acid composition of Sardinella aurita from the Tunisian coast,Marine Biological Association of the United Kingdom. Journal of the Marine Biological Association of the United Kingdom,90,3,569,2010,Cambridge University Press,
"Reykdal Í_., JÍ_rundsdÍ_ttir H.Í_., Desnica N., HauksdÍ_ttir S., RagnarsdÍ_ttir Í_., Vrac A., GunnlaugsdÍ_ttir H., PÍçlmadÍ_ttir H. (2011). Nutrient value of seafoods _„_ Proximates, minerals, trace elements and fatty acids in products. Matis Report 33-11. ISSN 1670-7192. (In Icelandic with English summary).",169,,,,,,,,,
"RodrÍ_guez C., Acosta C., BadÍ_a P., Cejas J.R., SantamarÍ_a F.J., Lorenzo A. (2004). Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish. Comparative Biochemistry and Physiology, PartB 139:619-629",170,"Rodrêguez, Covadonga; Acosta, Carolina; Badêa, Pilar; Cejas, Juana Rosa; Santamarêa, Francisco Javier; Lorenzo, Antonio; ",Assessment of lipid and essential fatty acids requirements of black seabream (Spondyliosoma cantharus) by comparison of lipid composition in muscle and liver of wild and captive adult fish,Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,139,4,619-629,2004,Elsevier,
"Roos N., Thorseng H., Chamnan C., Larsen T., Gondolf U.H., Bukhave K., Haraksingh Tilsted S. (2007). Iron content in common Cambodian fish species: Perspectives for dietary iron intake in poor, rural housholds. Food Chemistry 104: 1226 - 1235",171,"Roos, N., Thorseng, H., Chamnan, C., Larsen, T., Gondolf, U. H., Bukhave, K., & Thilsted, S. H","Iron content in common Cambodian fish species: perspectives for dietary iron intake in poor, rural households.",Food Chemistry,104,3,1226-1235,2007,Elsevier,
"Roos N., Wahab Md. A., Chamnan C., Thilsted S.H. (2007). The role of fish in food-based-strategies to combat Vitamin A and mineral deficiencies in developing countries. Journal of Nutrition 137(4): 1106-1109",172,"Roos, Nanna; Wahab, Md Abdul; Chamnan, Chhoun; Thilsted, Shakuntala H; ",The role of fish in food-based strategies to combat vitamin A and mineral deficiencies in developing countries,The journal of Nutrition,137,4,1106-1109,2007,Oxford University Press,
"Rosa R., Nunes M.L. (2003). Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus). Journal of the Science of Food and Agriculture 84: 89-94",173,"Rosa, Rui; Nunes, Maria L; ","Nutritional quality of red shrimp, Aristeus antennatus (Risso), pink shrimp, Parapenaeus longirostris (Lucas), and Norway lobster, Nephrops norvegicus (Linnaeus)",Journal of the Science of Food and Agriculture,84,1,89-94,2004,Wiley Online Library,
"Rueda F.M., HernÍçndez M.D., Egea M.A., Aguado F., GarcÍ_a B., MartÍ_nez F.J. (2001). Differences in tissue fatty acid composition between reared and wild sharpsnout sea bream, Diplodus puntazzo (Cetti, 1777). British Journal of Nutrition 86: 617-622",174,"Rueda, FM; Hernöndez, MD; Egea, MA; Aguado, F; Garcia, B; Martinez, FJ; ","Differences in tissue fatty acid composition between reared and wild sharpsnout sea bream, Diplodus puntazzo (Cetti, 1777)",British Journal of Nutrition,86,5,617-622,2001,Cambridge University Press,
"Ruff N., Fitzgerald R.D., Cross T.F., Kerry J.P. Comparative composition and shelf-life of fillets of wild and cultured turbot (Scophthalmus maximus) and Atlantic halibut (Hippoglossus hippoglossus) (2002) Aquaculture International, 10, 241-256",175,"Ruff, N; Fitzgerald, RD; Cross, TF; Kerry, JP; ",Comparative composition and shelf-life of fillets of wild and cultured turbot (Scophthalmus maximus) and Atlantic halibut (Hippoglossus hippoglossus),Aquaculture International,10,3,241-256,2002,Springer,
"Saito H., Ishihara K. (1996). Docosahexaenoic acid content of fatty acids in lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard. Biosci. Biotech. Biochem. 60(6): 1014-1016",176,"Saito, Hiroaki; Ishihara, Kenji; ","Docosahexaenoic acid content of fatty acids in the lipids of two species of frigate mackerel, Auxis rocheri and Auxis thazard","Bioscience, biotechnology, and biochemistry",60,6,1014-1016,1996,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",
"Sankar, T. V., Anandan, R., Mathew, S., Asha, K. K., Lakshmanan, P. T., Varkey, J., ... & Mohanty, B. P. (2013). Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala Coast, India. Eur. J. Exp. Biol, 3(1), 85-89.",177,"Sankar, TV; Anandan, R; Mathew, Suseela; Asha, KK; Lakshmanan, PT; Varkey, Jones; Aneesh, PA; Mohanty, BP; ","Chemical composition and nutritional value of Anchovy (Stolephorus commersonii) caught from Kerala coast, India",European journal of experimental biology,3,1,85-89,2013,,
"Sant'Ana L.S., Ducatti C., GonÍ_alves Ramires D. (2010). Seasonal variations in chemical composition and stable isotopes of farmed and wild Brazilian freswater fish. Food Chemistry 122: 74-77",178,"SantêAna, L_a Silvia; Ducatti, Carlos; Ramires, Djalma Gonçalves; ",Seasonal variations in chemical composition and stable isotopes of farmed and wild Brazilian freshwater fish,Food chemistry,122,1,74-77,2010,Elsevier,
"Saoud I.P., Batal M., Ghanawi J., Lebbos N. (2008). Seasonal evaluation of nutritional benefits of two fish species in the eastern Mediterranean Sea. International Journal of Food Science and Technology 43: 538-542",179,"Patrick Saoud, Imad; Batal, Malek; Ghanawi, Joly; Lebbos, Nada; ",Seasonal evaluation of nutritional benefits of two fish species in the eastern Mediterranean Sea,International journal of food science & technology,43,3,538-542,2008,Wiley Online Library,
"Selmi S., Bouriga N., Cherif M., Toujani M., Trabelsi M. (2010). Effects of drying process on a biochemical and microbiological quality of silverside (fish) Atherina lagunae. International Journal of Food Science & Technology 45: 1161 - 1168.",180,"Selmi, Salah; Bouriga, Nawzet; Cherif, Mourad; Toujani, Mohsen; Trabelsi, Monia; ",Effects of drying process on biochemical and microbiological quality of silverside (fish) Atherina lagunae,International journal of food science & technology,45,6,1161-1168,2010,Wiley Online Library,
"Selmi S., Sadok S. (2008). The influence of season on lipid content and fatty acids profile of Euthynnus alletteratus fillets and by-products. Journal of Muscle Foods 21: 365-378",181,"Selmi, Salah; Sadok, Saloua; ",The influence of season on lipid content and fatty acids profile of Euthynnus alletteratus fillets and by_products,Journal of Muscle Foods,21,2,365-378,2010,Wiley Online Library,
"Å_engÍ_r G.F.Íñ., Alakavuk D.Íñ., Tosun Å_.Y., Ulusoy Å_. (2010). The chemical and sensory quality of smoked sturgeon (Huso huso): a case study. Journal of Aquatic Food Product Technology 19: 310-317",182,"ænal _eng_r, G™lg™n F; Alakavuk, Didem æçok; Tosun, _ Yasemin; Ulusoy, _afak; ",The chemical and sensory quality of smoked sturgeon (Huso huso): A case study,Journal of Aquatic Food Product Technology,19,04-Jan,310-317,2010,Taylor & Francis,
"Serrini G., Luzzana U., Grimaldi P., Paleari M.A., ValfrÍÎ F. (1996). Fatty acid composition of some coregonid species (Coregonus spp.) from different European lakes. J. Appl. Ichthyol. 12: 57-59",183,"Serrini, G; Luzzana, U; Grimaldi, P; Paleari, MA; Valfre, F; ",Fatty acid composition of some coregonid species (Coregonus spp.) from different European lakes,Journal of Applied Ichthyology,12,1,57-59,1996,Wiley Online Library,
"Sirot V., Oseredczuk M., Bemrah-Aouachria N., Volatier J.-L., Leblanc J.-C.(2008). Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study. J Food Comp Anal 21: 8-16",184,"Sirot, V_ronique; Oseredczuk, Marine; Bemrah-Aouachria, Nawel; Volatier, Jean-Luc; Leblanc, Jean-Charles; ",Lipid and fatty acid composition of fish and seafood consumed in France: CALIPSO study,Journal of food composition and analysis,21,1,16-Aug,2008,Elsevier,
"Skonberg D.I., Perkins B.L. (2002). Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat. Food Chemistry 77: 401-404",185,"Skonberg, Denise I; Perkins, Brian L; ",Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat,Food chemistry,77,4,401-404,2002,Elsevier,
"Skonberg, Denise I., and Brian L. Perkins. ""Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat.""‘_Food Chemistry‘_77.4 (2002): 401-404.",186,"Skonberg, Denise I; Perkins, Brian L; ",Nutrient composition of green crab (Carcinus maenus) leg meat and claw meat,Food chemistry,77,4,401-404,2002,Elsevier,
Sriket et al. 2006. Comparative studies on chemical composition and thermal properties of black tiger shrimp. Food Chemistry,187,"Sriket, Pisal; Benjakul, Soottawat; Visessanguan, Wonnop; Kijroongrojana, Kongkarn; ",Comparative studies on chemical composition and thermal properties of black tiger shrimp (Penaeus monodon) and white shrimp (Penaeus vannamei) meats,Food chemistry,103,4,1199-1207,2007,Elsevier,
"Stanek M., Kupcewicz B., Dabrowski J., Janicki B. (2010). Estimation of Fat content and Fatty acids profile in the meat of spiny - cheek crayfish (Orconeces Limosus Raf.) from the Brda river and the lake Goplo). Journal Central European Agriculture 11: 297 - 304",188,"Stanek, Magdalena; KUPCEWICZ, Bogumi_a; D_BROWSKI, Janusz; Janicki, Bogdan; ",Estimation of fat content and fatty acids profile in the meat of spinycheek crayfish (Orconectes limosus Raf.) from the Brda river and the lake Gop_o,Journal of Central European Agriculture,11,3,297-304,2010,Agronomski fakultet Zagreb,
Stansby M.E. (1976). Chemical characteristics of fish caught in the Northeast Pacific Ocean. Marine Fisheries Review 38(9): 1-11,189,"Stansby, Maurice E; ",Chemical characteristics of fish caught in the northeast Pacific Ocean,Marine Fisheries Review,38,9,11-Jan,1976,,
