"","species","CA_mg","ZN_mg","FE_mg","EPA_g","DHA_g","Length","max_length","Subgroup","Habitat","TL","FoodTroph","Herbivory2","Abs_lat","DemersPelag","taxon","max_size","Weight"
"504","Perca fluviatilis",17.27,0.44161,0.11,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",54.084241,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"505","Perca fluviatilis",10.2,0.421452,0.11,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",54.00394,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"506","Perca fluviatilis",8.8,0.408639,0.09,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",54.117096,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"507","Perca fluviatilis",11.1,0.40198,0.1,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",54.084241,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"508","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.92411,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"509","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.92411,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"510","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.92411,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"511","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.92411,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"512","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.341081,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"513","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.341081,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"514","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.508114,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"515","Perca fluviatilis",NA,NA,NA,NA,NA,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",61.508114,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"516","Perca fluviatilis",NA,NA,NA,0.12324125,0.36578003,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",51.821038,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"517","Perca fluviatilis",NA,NA,NA,0.15723708,0.37998961,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",46.402497,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"518","Perca fluviatilis",NA,NA,NA,0.136724,0.3545058,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",51.821038,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"519","Perca fluviatilis",NA,NA,NA,0.1095292,0.3391872,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",51.821038,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"520","Perca fluviatilis",NA,NA,NA,0.13063635,0.39860835,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",51.821038,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"521","Perca fluviatilis",NA,NA,NA,0.12081186,0.39547814,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",51.821038,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"522","Perca fluviatilis",NA,NA,NA,0.20176792,0.33174112,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",46.402497,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"523","Perca fluviatilis",NA,NA,NA,0.1680728,0.36735912,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",46.402497,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"524","Perca fluviatilis",NA,NA,NA,0.14496418,0.43857807,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",46.402497,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"525","Perca fluviatilis",NA,NA,NA,0.11847254,0.3819909,60,60,"Finfish","freshwater",4.4,3.66,"mainly animals (troph. 2.8 and up)",46.402497,"demersal","Miscellaneous freshwater fishes",2.99713186592385,4750
"526","Phycis blennoides",NA,NA,NA,NA,NA,110,90,"Finfish","marine",3.49,3.66,"mainly animals (troph. 2.8 and up)",53.810441,"benthopelagic","Cods, hakes, haddocks",3.62618016524111,3540
"527","Phycis blennoides",NA,NA,NA,NA,NA,110,90,"Finfish","marine",3.49,3.66,"mainly animals (troph. 2.8 and up)",39.019184,"benthopelagic","Cods, hakes, haddocks",3.62618016524111,3540
"528","Phycis phycis",NA,NA,NA,0.017286005,0.114857545,65,49,"Finfish","marine",4.11,3.91,"mainly animals (troph. 2.8 and up)",37.370157,"benthopelagic","Cods, hakes, haddocks",1.58748050712063,3910
"529","Piaractus mesopotamicus",NA,NA,NA,0.05082044,0.138427529,40.5,40.5,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",16.837027,"demersal","Miscellaneous freshwater fishes",NA,20000
"530","Pimelodus maculatus",NA,NA,NA,0.02215466,0.09466082,51,51,"Finfish","freshwater",2.9,2.87,"mainly animals (troph. 2.8 and up)",19.427757,"benthopelagic","Miscellaneous freshwater fishes",1.75837467638673,2352
"531","Pinirampus pirinampu",NA,NA,NA,0.02333765,0.07001295,120,120,"Finfish","freshwater",4.5,4.5,"mainly animals (troph. 2.8 and up)",19.427757,"demersal","Miscellaneous freshwater fishes",24.8990762570775,7680
"532","Platichthys flesus",NA,NA,NA,NA,NA,60,43,"Finfish","marine",3.53,3.3,"mainly animals (troph. 2.8 and up)",53.164164,"demersal","Flounders, halibuts, soles",0.947757454158021,13950
"533","Platichthys flesus",NA,NA,NA,NA,NA,60,43,"Finfish","marine",3.53,3.3,"mainly animals (troph. 2.8 and up)",53.164164,"demersal","Flounders, halibuts, soles",0.947757454158021,13950
"534","Platichthys stellatus",NA,NA,NA,NA,NA,91,75,"Finfish","marine",3.32,3.5,"mainly animals (troph. 2.8 and up)",45.867615,"demersal","Flounders, halibuts, soles",6.66786756584721,9100
"535","Platichthys stellatus",18,0.45,0.36,NA,NA,91,91,"Finfish","marine",NA,3.5,"mainly animals (troph. 2.8 and up)",52.372895,"demersal",NA,8.58380173980419,9100
"536","Pleurogrammus monopterygius",14.1,0.5067,0.62,NA,NA,56.5,48,"Finfish","marine",3.33,3.64,"mainly animals (troph. 2.8 and up)",57.241325,"demersal","Miscellaneous coastal fishes",1.38410216185219,2000
"537","Pleuronectes platessa",28,0.48,0.19,NA,NA,100,100,"Finfish","marine",3.26,3.23,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Flounders, halibuts, soles",10.7117818933184,7000
"538","Pleuronectes platessa",NA,NA,NA,NA,NA,100,100,"Finfish","marine",3.26,3.23,"mainly animals (troph. 2.8 and up)",53.164164,"demersal","Flounders, halibuts, soles",10.7117818933184,7000
"539","Pleuronectes platessa",NA,NA,NA,NA,NA,100,100,"Finfish","marine",3.26,3.23,"mainly animals (troph. 2.8 and up)",53.164164,"demersal","Flounders, halibuts, soles",10.7117818933184,7000
"540","Pleuronectes platessa",NA,NA,NA,0.174054112,0.158101627,100,100,"Finfish","marine",3.26,3.23,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Flounders, halibuts, soles",10.7117818933184,7000
"541","Plotosus canius",NA,NA,NA,NA,NA,150,94.2,"Finfish","marine",3.3,3.88,"mainly animals (troph. 2.8 and up)",3.144341,"demersal","Miscellaneous coastal fishes",5.02131779692119,NA
"542","Pogonias cromis",NA,NA,NA,0.0703152,0.092777,170,139,"Finfish","marine",3.89,3.89,"mainly animals (troph. 2.8 and up)",34.941407,"demersal","Miscellaneous coastal fishes",30.3125248436651,51280
"543","Pollachius pollachius",NA,NA,NA,NA,NA,130,107,"Finfish","marine",4.15,3.91,"mainly animals (troph. 2.8 and up)",60.657778,"benthopelagic","Cods, hakes, haddocks",12.8525991331729,18140
"544","Pollachius pollachius",NA,NA,NA,NA,NA,130,107,"Finfish","marine",4.15,3.91,"mainly animals (troph. 2.8 and up)",60.657778,"benthopelagic","Cods, hakes, haddocks",12.8525991331729,18140
"545","Pollachius virens",10,0.38,0.25,NA,NA,130,130,"Finfish","marine",4.4,3.61,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",21.2700739797548,32000
"546","Pollachius virens",NA,NA,NA,0.071883579,0.254163204,130,130,"Finfish","marine",4.4,3.61,"mainly animals (troph. 2.8 and up)",63.968654,"demersal","Cods, hakes, haddocks",21.2700739797548,32000
"547","Pollachius virens",NA,NA,NA,NA,NA,130,107,"Finfish","marine",4.38,3.61,"mainly animals (troph. 2.8 and up)",62.1,"demersal","Cods, hakes, haddocks",11.8199687755881,32000
"548","Pollachius virens",NA,NA,NA,NA,NA,130,107,"Finfish","marine",4.38,3.61,"mainly animals (troph. 2.8 and up)",NA,"demersal","Cods, hakes, haddocks",11.8199687755881,32000
"549","Polyprion oxygeneios",NA,NA,NA,NA,NA,160,123,"Finfish","marine",4.45,4.45,"mainly animals (troph. 2.8 and up)",40.900557,"demersal","Miscellaneous demersal fishes",26.1712022767422,1e+05
"550","Pomatomus saltatrix",NA,NA,NA,0.748,2.5058,130,98,"Finfish","marine",4.5,4.08,"mainly animals (troph. 2.8 and up)",23.372169,"pelagic-oceanic","Miscellaneous pelagic fishes",8.58696589877343,14400
"551","Pomatomus saltatrix",NA,NA,NA,NA,NA,130,130,"Finfish","marine",4.5,4.08,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-oceanic","Miscellaneous pelagic fishes",18.2265965387216,14400
"552","Pomoxis nigromaculatus",NA,NA,NA,NA,NA,49,49,"Finfish","freshwater",4.2,3.81,"mainly animals (troph. 2.8 and up)",42.740759,"benthopelagic","Miscellaneous freshwater fishes",1.62858548227354,2720
"553","Prochilodus reticulatus",19,NA,NA,0.01,NA,28,28,"Finfish","freshwater",2,2,"mainly plants/detritus (troph. 2-2.19)",5.816764,"benthopelagic","Miscellaneous freshwater fishes",0.313202168820961,NA
"554","Protopterus aethiopicus",NA,NA,NA,0.00621,0.0391,200,200,"Finfish","freshwater",3.4,3.43,"mainly animals (troph. 2.8 and up)",0.755775,"demersal","Miscellaneous freshwater fishes",NA,17000
"555","Protopterus aethiopicus",NA,NA,NA,0.02162,0.022,200,200,"Finfish","freshwater",3.4,3.43,"mainly animals (troph. 2.8 and up)",1.433393,"demersal","Miscellaneous freshwater fishes",NA,17000
"556","Protopterus aethiopicus",NA,NA,NA,0.005,0.064,200,200,"Finfish","freshwater",3.4,3.43,"mainly animals (troph. 2.8 and up)",1.504705,"demersal","Miscellaneous freshwater fishes",NA,17000
"557","Pseudoplatystoma fasciatum",NA,NA,NA,NA,NA,104,104,"Finfish","freshwater",4.4,4.38,"mainly animals (troph. 2.8 and up)",7.584134,"demersal","Miscellaneous freshwater fishes",13.2434068834703,70000
"558","Pseudoplatystoma fasciatum",NA,NA,NA,NA,NA,104,104,"Finfish","freshwater",4.4,4.38,"mainly animals (troph. 2.8 and up)",7.584134,"demersal","Miscellaneous freshwater fishes",13.2434068834703,70000
"559","Pseudoplatystoma fasciatum",24.5,NA,NA,0.01,NA,104,104,"Finfish","freshwater",4.4,4.38,"mainly animals (troph. 2.8 and up)",5.816764,"demersal","Miscellaneous freshwater fishes",13.2434068834703,70000
"560","Puntioplites proctozystron",851.73,1.66837,1.1,NA,NA,30,30,"Finfish","freshwater",2.7,2.7,"plants/detritus+animals (troph. 2.2-2.79)",12.265754,"benthopelagic","Carps, barbels and other cyprinids",0.272916341239469,NA
"561","Puntius sophore",NA,NA,NA,NA,NA,20,18,"Finfish","freshwater",2.8,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.0809808237247298,NA
"562","Puntius sophore",NA,NA,NA,NA,NA,20,18,"Finfish","freshwater",2.8,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.0809808237247298,NA
"563","Puntius sophore",NA,NA,NA,NA,NA,20,18,"Finfish","freshwater",2.8,NA,NA,24.4333,"benthopelagic","Carps, barbels and other cyprinids",0.0809808237247298,NA
"564","Rasbora tornieri",812.59,3.055239,0.73,NA,NA,17,17,"Finfish","freshwater",3.2,3.2,"mainly animals (troph. 2.8 and up)",12.265754,"benthopelagic","Carps, barbels and other cyprinids",0.0281642945676965,NA
"565","Rasbora tornieri",NA,NA,NA,NA,NA,17,17,"Finfish","freshwater",3.2,3.2,"mainly animals (troph. 2.8 and up)",12.265754,"benthopelagic","Carps, barbels and other cyprinids",0.0281642945676965,NA
"566","Rasbora tornieri",NA,NA,NA,NA,NA,17,17,"Finfish","freshwater",3.2,3.2,"mainly animals (troph. 2.8 and up)",12.265754,"benthopelagic","Carps, barbels and other cyprinids",0.0281642945676965,NA
"567","Rastrelliger brachysoma",NA,NA,NA,NA,NA,34.5,32,"Finfish","marine",2.72,2.72,"plants/detritus+animals (troph. 2.2-2.79)",9.71212,"pelagic-neritic","Miscellaneous pelagic fishes",0.88201270279456,NA
"568","Rastrelliger kanagurta",NA,NA,NA,NA,NA,38,32,"Finfish","marine",3.19,3.19000005722046,"mainly animals (troph. 2.8 and up)",3.144341,"pelagic-neritic","Miscellaneous pelagic fishes",0.387492582255999,NA
"569","Rastrineobola argentea",NA,NA,NA,0.14587456,0.17953792,9,9,"Finfish","freshwater",3.4,3.41000008583069,"mainly animals (troph. 2.8 and up)",0.033333,"pelagic","Miscellaneous freshwater fishes",0.00574739703928607,NA
"570","Rastrineobola argentea",NA,NA,NA,NA,NA,9,9,"Finfish","freshwater",3.4,3.41000008583069,"mainly animals (troph. 2.8 and up)",2.516667,"pelagic","Carps, barbels and other cyprinids",0.00574739703928607,NA
"571","Rastrineobola argentea",NA,NA,NA,NA,NA,9,9,"Finfish","freshwater",3.4,3.41000008583069,"mainly animals (troph. 2.8 and up)",2.516667,"pelagic","Carps, barbels and other cyprinids",0.00574739703928607,NA
"572","Reinhardtius hippoglossoides",NA,NA,NA,NA,NA,80,66,"Finfish","marine",4.48,4.09,"mainly animals (troph. 2.8 and up)",60.529651,"benthopelagic","Flounders, halibuts, soles",2.56369460597253,7000
"573","Reinhardtius hippoglossoides",NA,NA,NA,NA,NA,80,66,"Finfish","marine",4.48,4.09,"mainly animals (troph. 2.8 and up)",60.529651,"benthopelagic","Flounders, halibuts, soles",2.56369460597253,7000
"574","Reinhardtius hippoglossoides",5.9,0.32,0.09,NA,NA,80,66,"Finfish","marine",4.48,4.09,"mainly animals (troph. 2.8 and up)",63.968654,"benthopelagic","Flounders, halibuts, soles",2.56369460597253,7000
"575","Rhizoprionodon terraenovae",NA,NA,NA,0.01,0.068,110,110,"Finfish","marine",4.3,4.5,"mainly animals (troph. 2.8 and up)",25.304304,"demersal","Sharks, rays, chimaeras",7.32404975109148,7250
"576","Rutilus frisii",NA,NA,NA,0.17597208,0.127133452,70,70,"Finfish","freshwater",3.5,3.3,"mainly animals (troph. 2.8 and up)",37,"benthopelagic","Carps, barbels and other cyprinids",4.19681782922647,8000
"577","Rutilus frisii",NA,NA,NA,0.27876758,NA,70,70,"Finfish","freshwater",3.5,3.3,"mainly animals (troph. 2.8 and up)",35.707481,"benthopelagic","Carps, barbels and other cyprinids",4.19681782922647,8000
"578","Rutilus frisii",7.59,0.150696,0.12,NA,NA,70,70,"Finfish","freshwater",3.5,3.3,"mainly animals (troph. 2.8 and up)",35.707481,"benthopelagic","Carps, barbels and other cyprinids",4.19681782922647,8000
"579","Rutilus frisii",NA,0.0633,0.56,NA,NA,70,70,"Finfish","freshwater",3.5,3.3,"mainly animals (troph. 2.8 and up)",36.309508,"benthopelagic","Carps, barbels and other cyprinids",4.19681782922647,8000
"580","Rutilus rutilus",13.02,0.35989,0.19,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",54.084241,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"581","Rutilus rutilus",19.12,0.393507,0.18,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",54.117096,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"582","Rutilus rutilus",19.5,0.483252,0.2,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",54.00394,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"583","Rutilus rutilus",NA,NA,NA,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",53.875369,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"584","Rutilus rutilus",21.63,1.22148,0.19,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",54.084241,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"585","Rutilus rutilus",12.78,1.102244,0.19,NA,NA,50,50,"Finfish","freshwater",2.8,2.87,"plants/detritus+animals (troph. 2.2-2.79)",54.00394,"benthopelagic","Carps, barbels and other cyprinids",1.74428415186379,1840
"586","Salmo salar",NA,NA,NA,0.459944842,3.23096521,150,123,"Finfish","marine",4.43,3.76,"mainly animals (troph. 2.8 and up)",55.028022,"benthopelagic","Salmons, trouts, smelts",17.04554172,46764
"587","Salmo salar",NA,NA,NA,NA,NA,150,123,"Finfish","marine",4.43,3.76,"mainly animals (troph. 2.8 and up)",53.41291,"benthopelagic","Salmons, trouts, smelts",17.04554172,46764
"588","Salmo salar",NA,NA,NA,NA,NA,150,123,"Finfish","marine",4.43,3.76,"mainly animals (troph. 2.8 and up)",53.41291,"benthopelagic","Salmons, trouts, smelts",17.04554172,46764
"589","Salvelinus fontinalis",3.1,0.8,0.18,0.08,0.37,86,86,"Finfish","freshwater",3.1,3.74,"mainly animals (troph. 2.8 and up)",52.998485,"demersal","Salmons, trouts, smelts",6.63017735203653,8000
"590","Salvelinus fontinalis",12.7,0.8,0.33,0.24,0.46,86,86,"Finfish","freshwater",3.1,3.74,"mainly animals (troph. 2.8 and up)",47.878794,"demersal","Salmons, trouts, smelts",6.63017735203653,8000
"591","Salvelinus namaycush",3,0.5,0.2,0.14,0.3,150,150,"Finfish","freshwater",4.3,3.77,"mainly animals (troph. 2.8 and up)",52.636704,"benthopelagic","Salmons, trouts, smelts",32.4947916987658,32650
"592","Sander lucioperca",NA,NA,NA,0.0358448,0.0529336,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",41.53,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"593","Sander lucioperca",NA,NA,NA,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",61.92411,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"594","Sander lucioperca",54,0.9,0.7,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",41.53,"pelagic","Carps, barbels and other cyprinids",10.9674608918309,20000
"595","Sander lucioperca",51,0.7,0.7,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",41.53,"pelagic","Carps, barbels and other cyprinids",10.9674608918309,20000
"596","Sander lucioperca",NA,NA,NA,0.033573,0.109269,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",53.866389,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"597","Sander lucioperca",NA,1.32,NA,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",36.967401,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"598","Sander lucioperca",NA,NA,NA,0.054579322,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",35.707481,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"599","Sander lucioperca",NA,NA,NA,0.002842752,0.005952012,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",36.967401,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"600","Sander lucioperca",NA,NA,NA,0.00251029,0.00835193,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",38.023757,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"601","Sander lucioperca",80.56,0.71,0.31,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",37.866667,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"602","Sander lucioperca",77.88,0.582,0.17,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",37,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"603","Sander lucioperca",NA,NA,NA,0.009422673,0.06509256,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",37,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"604","Sander lucioperca",14.16,0.074482,0.09,NA,NA,100,100,"Finfish","freshwater",4.3,4.04,"mainly animals (troph. 2.8 and up)",35.707481,"pelagic","Miscellaneous freshwater fishes",10.9674608918309,20000
"605","Sander vitreus",NA,NA,NA,NA,NA,107,107,"Finfish","freshwater",4.5,4.16,"mainly animals (troph. 2.8 and up)",42.740759,"demersal","Miscellaneous freshwater fishes",15.9638596717273,11340
"606","Sarda orientalis",NA,NA,NA,0.0434448,0.1665384,102,95,"Finfish","marine",4.18,4.21000003814697,"mainly animals (troph. 2.8 and up)",32.750286,"pelagic-neritic","Tunas, bonitos, billfishes",10.2926275009018,10650
"607","Sarda orientalis",NA,NA,NA,0.1449726,0.5486218,102,95,"Finfish","marine",4.18,4.21000003814697,"mainly animals (troph. 2.8 and up)",32.750286,"pelagic-neritic","Tunas, bonitos, billfishes",10.2926275009018,10650
"608","Sarda orientalis",NA,NA,NA,0.0397119,0.1623311,102,95,"Finfish","marine",4.18,4.21000003814697,"mainly animals (troph. 2.8 and up)",32.750286,"pelagic-neritic","Tunas, bonitos, billfishes",10.2926275009018,10650
"609","Sarda sarda",70.05,0.412,13.22,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"610","Sarda sarda",12.16,0.5549,2.25,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"611","Sarda sarda",21.29,1.8137,7.99,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"612","Sarda sarda",83.49,2.3925,16.79,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"613","Sarda sarda",21.17,0.456,2.52,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"614","Sarda sarda",63.77,1.7805,7.97,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"615","Sarda sarda",20.38,0.1195,1.92,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"616","Sarda sarda",71.08,0.513,13.37,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"617","Sarda sarda",79.2,0.2116,0.48,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"618","Sarda sarda",NA,NA,NA,0.64443782,0.125495786,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",42.163403,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"619","Sarda sarda",21.28,0.4969,1.25,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"620","Sarda sarda",NA,NA,NA,0.27328,0.1952,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",23.372169,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"621","Sarda sarda",NA,NA,NA,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"622","Sarda sarda",59.39,1.4589,4.47,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"623","Sarda sarda",NA,NA,NA,0.04522,0.13566,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"624","Sarda sarda",50.53,1.5755,1.98,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",41.00527,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"625","Sarda sarda",NA,NA,NA,NA,NA,91.4,90,"Finfish","marine",4.2,4.34,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Tunas, bonitos, billfishes",8.35721330582242,11000
"626","Sardina pilchardus",NA,NA,NA,0.18088,0.54264,27.5,27.5,"Finfish","marine",3.1,2.79,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Herrings, sardines, anchovies",0.171516039218113,NA
"627","Sardina pilchardus",NA,NA,NA,NA,NA,27.5,27.5,"Finfish","marine",3.1,2.79,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Herrings, sardines, anchovies",0.171516039218113,NA
"628","Sardina pilchardus",NA,NA,NA,NA,NA,27.5,27.5,"Finfish","marine",3.1,2.79,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Herrings, sardines, anchovies",0.171516039218113,NA
"629","Sardina pilchardus",NA,NA,NA,NA,NA,27.5,27.5,"Finfish","marine",3.1,2.79,"mainly animals (troph. 2.8 and up)",39.019184,"pelagic-neritic","Herrings, sardines, anchovies",0.171516039218113,NA
