sciname,StockDefs,TempMin,TempMax,SpecCode
Micropogonias furnieri,Western Atlantic:  Greater Antilles and from Costa Rica to Argentina (Ref. 9626).  Also reported in Nicaragua (Ref. 13613).,NA,NA,7620
Micromesistius poutassou,"Northeast Atlantic:  Barents Sea south through the eastern Norwegian Sea, around Iceland, then in the western Mediterranean, and south along the African coast to Cape Bojador.  Northwest Atlantic:  southern Greenland and off southeast Canada and the northeastern coast of the USA.",NA,NA,31
Micromesistius poutassou,"Northeast Atlantic:  combined stock  in (ICES Subareas I-IX, XII, and XIV).",NA,NA,31
Microstomus kitt,Northeast Atlantic:  Bay of Biscay to the White Sea and off Iceland.,NA,NA,1382
Microstomus pacificus,"Eastern Pacific:  Navarin Canyon in the Bering Sea to Stalemate Bank in the Aleutian Islands and San Cristobal Bay, Baja California, Mexico.",NA,NA,4247
Molva dypterygia,"Northeast Atlantic:  southwestern Barents Sea, sometimes north to Spitsbergen, southeastern Greenland, southern coast of Iceland, around the British Isles and south to Morocco and into the Mediterranean.  Northwest Atlantic:  Newfoundland.",NA,NA,1383
Molva dypterygia,"Northeast Atlantic:  Faroe Islands, West of Scotland, Irish Sea, Celtic Sea, Western Channel (ICES Subdivision Vb, and Subareas VI, and VII)",NA,NA,1383
Molva dypterygia,"Iceland and 
Reykjanes ridge (ICES Division Va and Subarea XIV)",NA,NA,1383
Molva dypterygia,Northeast Atlantic,NA,NA,1383
Molva dypterygia,"Northeast Atlantic: Skagerrak, Kattegat, Northern North Sea, Northeast Arctic, Bay of Biscay, Western Iberian Sea, Atlantic South of Iceland (ICES Divisions IIIa, and IVa and Subareas I, II,
VIII, IX, and XII)",NA,NA,1383
Molva molva,Northwest Atlantic:  off southern Greenland and Canada.  Northeast Atlantic:  Barents Sea and Iceland to Morocco.  Mediterranean Sea:  northwestern Mediterranean only.,NA,NA,33
Molva molva,around Faroe (ICES division Vb),NA,NA,33
Molva molva,around Iceland (ICES division Va),NA,NA,33
Molva molva,Northeast Arctic (ICES subareas I and II),NA,NA,33
Molva molva,Northeast Atlantic,NA,NA,33
Molva molva,"Northern North Sea, Skagerrak, Kattegat, West of Scotland, Irish Sea, Celtic Sea, Channel, Bay of Biscay, Western Iberian Sea, Greenland shelf (ICES Divisions IIIa and IVa, and in Subareas VI, VII,
VIII, IX, XII, and XIV)",NA,NA,33
Monopterus albus,"Asia:  India to China, Japan, Malaysia and Indonesia.  Probably occurring in Bangladesh.",25,28,4663
Mora moro,"Eastern Atlantic:  Iceland and Faeroes to Cape Bojador, West Africa, and including Azores, Madeira, and western Mediterranean.  Also known from the Walvis and Vavilov ridges (Ref. 45011).  Reported from Mauritania (Ref. 55783).  Western Indian Ocean:  in the region south of Madagascar.  Pacific Ocean:  temperate Australia, New Zealand, and between Valparaiso, Chile and the Juan Fernandez Islands.",NA,NA,1734
Mormyrus rume,"Africa:  Gambia, Senegal, Niger, Volta and Chad basins.  Sahelo-Soudanian basins and the coastal basins of the rivers Cavally, Bandama, Sassandra, Comoé, Mono, Ouémé, Ogun and Culufi.  Two subspecies exist:  <i>Mormyrus rume rume</i>	: West Africa, Chad System; <i>Mormyrus rume proboscirostris</i>:  Congo River.",NA,NA,2397
Mormyrus rume,"<i>Mormyrus rume proboscirostris</i>	:  Africa:  middle and upper Congo River basin in Democratic Republic of the Congo, Republic of Congo and Angola (Ref. 42505).",22,24,2397
Morone saxatilis,Western Atlantic:  St. Lawrence River in Canada to St. John's River in northern Florida and northern Gulf of Mexico; from fresh and brackish tributaries  of western Florida to Louisiana in the USA.  Introduced to other countries.,8,25,353
Mugil liza,"Western Atlantic:  Bermuda, Florida (USA), Bahamas, and throughout the Caribbean Sea to Argentina.",NA,NA,1090
Mullus barbatus barbatus,"Eastern Atlantic:  British Isles (occasionally Scandinavia) to Dakar, Senegal, Canary Islands, Mediterranean and Black Sea.  Also known from the Azores (Ref. 4845).",NA,NA,790
Mullus surmuletus,"Eastern Atlantic:  Western Norway, English Channel (rare in North Sea) to Dakar, Senegal and the Canary Islands, including the Mediterranean and the Black Sea.",NA,NA,1327
Mustelus lenticulatus,Southwest Pacific:  Kermadec Islands (Ref. 8879) and New Zealand; reported from southern Australia (Ref. 9258).,NA,NA,5933
Mycteroperca acutirostris,Western Atlantic:  Bermuda and northwestern Gulf of Mexico to Brazil.  Report of this species (as <i>Serranus acutirostris</i>) from the Canary Islands is probably a misidentification of <i>Mycteroperca fusca</i>.,NA,NA,9386
Mycteroperca rubra,"Eastern Atlantic:  Portugal to southern Angola; reports from islands require confirmation.  Specimens from Madeira, Azores, Canary Islands, and Cape Verde have been examined by Heemstra (1991, Ref. 6512) and are identified to be <i>Mycteroperca fusca</i>.  Replaced by <i>Mycteroperca acutirostris</i> in the western Atlantic.",NA,NA,1214
Mystus mysticetus,Asia:  Mekong and Chao Phraya basins (Ref. 27732).  Reported from the Maeklong River (Ref. 26336).,NA,NA,26715
Mystus vittatus,"Asia:  Indian subcontinent, including Pakistan, India, Sri Lanka, Nepal, Bangladesh and probably Myanmar.  Reported from Malaysia (Ref. 4835), Laos (Ref. 4792), Bhutan (Ref. 9418), Viet Nam (Ref. 36625) and Cambodia (Ref. 36654).  May have been confused with other <i>Mystus</i>.",22,28,5137
Mastacembelus armatus,Asia:  Pakistan to Viet Nam and Indonesia.,22,28,10140
Lepidocephalichthys guntea,"Asia:  Pakistan, northern India, Bangladesh, Nepal, Myanmar and Thailand.  Known from the Salween basin (Ref. 12041).",NA,NA,5336
Nandus nandus,Asia:  Pakistan to Thailand.,22,26,10260
Nemipterus japonicus,"Indo-Pacific.  A Red Sea immigrant into the Mediterranean reported from Haifa Bay (2005) (Ref. 72453, 72484).  A record of this species from northwestern Australia is unfounded.",NA,NA,4559
Notopterus notopterus,"Asia:  Indus, Ganges-Brahmaputra, Mahanadi, Krishna, Cauvery, and other river basins in southern India; Irrawaddy, and Salween; Meklong, Chao Phraya, Mekong and virtually all coastal river basins of peninsular Thailand and Malaysia; Sumatra and  Java.  Has never been reported in Borneo and is not present in the Red River basin of Tonkin (North Viet Nam).",24,28,7990
Gobionotothen gibberifrons,"Southern Ocean:  Scotia Arc and Heard Island.  Also distributed in the South Atlantic, near the southern Shetland, southern Sandwich, southern Orkney Islands, and near South Georgia Island (Ref. 4883).",NA,NA,7041
Notothenia neglecta,"Southern Ocean:  coast of the Antarctic continent, Antarctic Peninsula, South Georgia, South Shetland, South Orkney Islands and Peter I Island.",NA,NA,58010
Oblada melanura,"Eastern Atlantic:  Bay of Biscay, the Mediterranean, and from the Strait of Gibraltar  to Angola.  Also known from Madeira, Cape Verde and the Canary Islands.",NA,NA,850
Odax pullus,Southwest Pacific:  New Zealand and probably Australia.,NA,NA,12840
Oncorhynchus gorbuscha,"Arctic and Pacific drainages from Mackenzie River delta, Northwest Territories, Canada to Sacramento River drainage, in California, USA; occasionally as far as La Jolla, southern California; also in northeast Asia (Ref. 5723).  On Asia side, from North Korea to Jana and Lena drainages in Artic Russia.  In Bering Sea north of about 40°N and from Bering Strait northeast to Point Barrow and northwest to Lena estuary (Ref. 59043).  Introduced elsewhere.  Occasionally hybridizes with <i>Oncorhynchus keta</i> producing fertile offspring (Ref. 28983).",NA,21,240
Oncorhynchus kisutch,"North Pacific: distributed from the Anadyr River in Russia south towards Hokkaido, Japan, and from Point Hope in Alaska southwards to Chamalu Bay in Baja California, Mexico.",0,24.7999992370605,245
Oncorhynchus mykiss,"Native to Pacific Slope from Kuskokwim River, Alaska to (at least) Rio Santa Domingo, Baja California, Mexico; upper Mackenzie River drainage (Arctic basin), Alberta and British Columbia in Canada; endorheic basins of southern Oregon, USA.  Widely introduced in cold waters elsewhere in North America and rest of the world (Ref. 5723).  Eastern Pacific:  Kamchatkan Peninsula and have been recorded from the Commander Islands east of Kamchatka and sporadically in the Sea of Okhotsk as far south as the mouth of the Amur River along the mainland.  The records outside Kamchatka probably represent migrating or straying Kamchatkan steelhead (<i>penshinensis</i>) rather than the established native population (Reg.  50080). Several countries report adverse ecological impact after introduction.",10,24,239
Oncorhynchus tshawytscha,"Arctic, Northwest to Northeast Pacific:  drainages from Point Hope, Alaska to Ventura River, California, USA; occasionally strays south to San Diego in California, USA.  Also in Honshu, Japan (Ref. 6793), Sea of Japan (Ref. 1998),  Bering Sea (Ref. 2850) and Sea of Okhotsk (Ref. 1998).  Found in Coppermine River in the Arctic.  Several countries report adverse ecological impact after introduction.",0,24.8999996185303,244
Oncorhynchus keta,"North Pacific:  Korea , Japan, Okhotsk and Bering Sea (Ref. 1998), Arctic Alaska south to San Diego, California, USA.  Asia:  Iran (Ref. 39702).",0,23.7000007629395,241
Oncorhynchus nerka,"North Pacific:  northern Japan to Bering Sea and to Los Angeles, California, USA (Ref. 2850).  Landlocked populations in Alaska, Yukon Territory and British Columbia in Canada, and Washington and Oregon in USA.",0,24.8999996185303,243
Ophiodon elongatus,"Northeast Pacific:  Shumagin Islands in the western Gulf of Alaska to Ensenada, Baja California, Mexico.  Possibly occurring in the Bering Sea (Ref. 6793).",NA,NA,509
Opisthonema oglinum,"Western Atlantic:  Gulf of Maine (USA), Bermuda, throughout the Gulf of Mexico, Caribbean and West Indies southward to Santa Catarina, Brazil.  The Colombian form is possibly a subspecies, <i>Opisthonema oglinum captivai</i>. Also found in Uruguay (Ref. 54736) and Argentina (Ref. 2806).",NA,NA,1486
Oreochromis niloticus," <i>Oreochromis niloticus filoa</i>: Israel strain.  Introduced to the Gan Shmuel hatchery, Israel from Kajansi Fish Culture Station, Uganda by Pruginin in 1969.  Founding stock consisted of 120 fry and a further sample (?) in 1970.",NA,NA,2
Oreochromis niloticus," <i>Oreochromis niloticus filoa</i>: Uganda strain.  Introduced to the Kajansi Fish Culture Station, Uganda from Lake George.  Year of introduction and size of founding stock are unknown.",NA,NA,2
Oreochromis niloticus,"<i>Oreohromis n. vulcani</i>:  Mombasa-Kenya 1976 strain.  Introduced to the Baobab Farm, Mombasa, Kenya from Lake Baringo in 1976.  Founder stock is unknown.",NA,NA,2
Oreochromis niloticus,"<i>Oreohromis niloticus vulcani</i>:  DOR-Kenya 1966 strain.  Introduced to Dor, Israel from Lake Turkana, Kenya in 1966.  Founder stock consisted of fry collected from the mouth of a single female by Pruginin.",NA,NA,2
Oreochromis niloticus,"<i>Oreohromis niloticus vulcani</i>:  Mombasa-Kenya 1978 strain.  Introduced to the Baobab Farm, Mombasa, Kenya from El Molo Bay at Lake Turkana in 1978.  Founder stock is unknown.",NA,NA,2
Oreochromis niloticus,"Auburn-Egypt 1982 strain. Introduced to Auburn University, Alabama from Egypt in May 1982. Founder stock of 66 females and 20 males were collected from Ismailia Canal one of the distributaries of the Nile River, about 0.75 km northeast of Cairo, Egypt.",NA,NA,2
Oreochromis niloticus,"Auburn-Israel 1982 strain.  Introduced to the Auburn University, Alabama, USA from the Fish and Aquaculture Research Station, DOR, Israel in 1982.  Founder stock consisted of 200 individuals.",NA,NA,2
Oreochromis niloticus,"Bangkok-Japan 1965 strain.  Introduced to Bangkok, Thailand from Japan in 1965 with a founder stock of 50 fish.  However, the number of fish that survived to breed is still unclear.",NA,NA,2
Oreochromis niloticus,Bouaké-Burkina Faso 1957 strain.  Originated from a waterhole called 'la mare aux hippos' in Burkina Faso (formerly Upper Volta).  Introduced in 1957 with a founder stock of 200 individuals.,NA,NA,2
Oreochromis niloticus,"CLSU strain.  Different Philippine strains like the 'Taiwan', 'Israel' and 'Singapore' strains held at the Central Luzon State University, Muñoz, Nueva Ecija were combined to create a founder population for experimental purposes.",NA,NA,2
Oreochromis niloticus,"CLSU-Egypt 1988 strain.  Introduced to the National Freshwater Fisheries Technology Research Center of the Bureau of Fisheries and Aquatic Resources in CLSU, Nueva Ecija, Philippines from Egypt in May, 1988 (1st collection) and in August 1989 (2nd collection).  Collected from rivers, canals and lakes in Egypt.",NA,NA,2
Oreochromis niloticus,"CLSU-Ghana 1988 strain.  Introduced to the National Freshwater Fisheries Technology Research Center of BFAR in Central Luzon State University, Nueva Ecija, Philippines from Ghana in October 1988.  Founder stock of 220 fingerlings were collected from the Akosombo and Kpong dams (Kpong headpond) in the Volta River.",NA,NA,2
Oreochromis niloticus,"CLSU-Israel 1979 strain.  Introduced in the Philippines through the collaborative project between the Freshwater Aquaculture Center of the Central Luzon State University (CLSU), Nueva Ecija and ICLARM in 1982 with 30 females and 10 males as founder stocks.  This came from the original introduction in 1979 from Israel.",NA,NA,2
Oreochromis niloticus,"CLSU-Kenya 1988 strain.  Introduced to the Bureau of Fisheries and Aquatic Resources, Nueva Ecija, Philippines in August, 1989 with a founder stock of 800 fingerlings.  Stock was collected from the first generation progeny of a founder stock collected in Lake Turkana, Kenya in August, 1988.",NA,NA,2
Oreochromis niloticus,"CLSU-Senegal 1988 strain.  Introduced to the Bureau of Fisheries and Aquatic Resources in Central Luzon State University, Nueva Ecija, Philippines in October, 1988.  Founder stocks were collected from floodplains of Dagana (120 breeders), Dakar-Bangos (40 breeders) and Mbane (40 fingerlings) in Senegal.",NA,NA,2
Oreochromis niloticus,"CLSU-Taiwan 1983 strain.  Introduced to the Bureau of Fisheries and Aquatic Resources in Central Luzon State University, Nueva Ecija, Philippines from Taiwan in May 1983 with a founder stock of 150 females and 50 males.  In May 1984, another batch of founder stock was introduced with 16 females and 24 males.",NA,NA,2
Oreochromis niloticus,"CLSU-Thailand 1972 strain.  Introduced to the National Freshwater Fisheries Technology Research Center of the Bureau of Fisheries and Aquatic Resources in Central Luzon State University (CLSU), Nueva Ecija, Philippines from Thailand in 1972.  Founding stock is unknown.",NA,NA,2
Oreochromis niloticus,"DOR-Brazil 1977 strain.  Introduced to Dor, Israel from Fortaleza, Brazil in 1977.  Founder stock was 125 fingerlings.",NA,NA,2
Oreochromis niloticus,"DOR-Egypt 1982 strain.  Introduced to Dor, Israel from Ismailia Canal, one of the distributaries of the Nile River in 1982.  Founder stock consisted of 60 females and 20 males.",NA,NA,2
Oreochromis niloticus,"DOR-Ghana 1974 strain.  Introduced to the Fish and Aquaculture Research Station, DOR, Israel from the drainage system of Lake Volta, in the vicinity of Accra, Ghana in 1974.  Founder stock included nine females and two males.",NA,NA,2
Oreochromis niloticus,"DOR-United Kingdom 1984 strain.  Introduced to Dor, Israel from the University of Stirling, UK in 1984.  Founder stock included 300 fingerlings.",NA,NA,2
Oreochromis niloticus,"Fortaleza-Côte d'Ivoire 1971 strain.  Introduced to the Experimental Fish Culture Unit of Pentecosta Ceará, Fortaleza, Brazil from Bouaké, Côte d'Ivoire in 1971.  Founding stock was 60 juveniles.",NA,NA,2
Oreochromis niloticus,GIFT strain.,NA,NA,2
Oreochromis niloticus,"Japan-Egypt 1962 strain.  Introduced to Japan from Cairo, Egypt in 1962.  Founding stock was 120 individuals.",NA,NA,2
Oreochromis niloticus,"King Abdul-aziz strain.  Introduced to the King Abdul-aziz City for Science and Technology Fish Culture Project, Riyadh, Saudi Arabia.  Year of introduction and size of founding stock are unknown.",NA,NA,2
Oreochromis niloticus,"Rwanda-USA 1984 strain.  Introduced to Rwanda from Alabama, USA in 1984.  Founder stock was 22 females and 18 males.",NA,NA,2
Oreochromis niloticus,"SEAFDEC-Singapore 1979 strain.  Introduced to the Freshwater Fisheries Station of the Southeast Asian Fisheries Development Center (SEAFDEC), Philippines from Singapore in 1979.  Founding stock is unknown.",NA,NA,2
Oreochromis niloticus,"Singapore-Israel strain.  Introduced to Singapore from Dor, Israel.  The year of introduction and size of founding stock are unknown.",NA,NA,2
Oreochromis niloticus,"Stirling-Egypt strain.  Introduced to the Institute of Aquaculture, Stirling University, UK from Lake Manzallah in Egypt.  Year of introduction and size of founder stock are unknown.",NA,NA,2
Oreochromis niloticus,"Auburn-Brazil 1974 strain.  Introduced to Auburn University, Alabama, USA from Brazil in 1974 with a founding stock of 100 fry.",NA,NA,2
Oreochromis niloticus,Taiwan-Japan 1966 strain.  Introduced to Taiwan from Japan in 1966.  Founder stock consisted of 56 individuals.,NA,NA,2
Oreochromis niloticus,"The China-Sudan 1978 strain was introduced to Hubei Province, China from Nile River, Sudan in 1978.  Founder stock was 61 individuals.",NA,NA,2
Oreochromis niloticus,"Africa:  naturally occurring in coastal rivers of Israel (Ref. 5166), Nile basin (including lake Albert, Edward and Tana), Jebel Marra, Lake Kivu, Lake Tanganyika, Awash River, various Ethiopian lakes, Omo River system, Lake Turkana, Suguta River and Lake Baringo (Ref. 2). In West Africa natural distribution covers the basins of the Senegal, Gambia, Volta, Niger, Benue and Chad, with introduced specimens reported from various coastal basins (Ref. 53405). Widely introduced for aquaculture, with many existing strains. Several countries report adverse ecological impact after introduction. The following subspecies were previously recognized: <i>Oreochromis niloticus baringoensis</i>, <i>Oreochromis niloticus cancellatus</i>, <i>Oreochromis niloticus eduardianus</i>, <i>Oreochromis niloticus filoa</i>, <i>Oreochromis niloticus niloticus</i>, <i>Oreochromis niloticus sugutae</i>, <i>Oreohromis niloticus tana</i> and <i>Oreohromis niloticus vulcani</i>.",13.5,33,2
Oreochromis niloticus,<i>Oreochromis niloticus filoa</i>: Africa:  Awash system excluding Lake Beseka; possibly also in Lake Akaki.,NA,NA,2
Oreochromis niloticus,<i>Oreochromis niloticus sugutae</i>:  Africa:  Sugata River and its tributary the Kinyang or Kapedo in the neighborhood of the hot springs that feed it in Kenya.,NA,NA,2
Oreochromis niloticus,"<i>Oreochromis niloticus baringoensis</i>: Africa:  endemic to Lake Baringo, Kenya.",24,28,2
Oreochromis niloticus,"<i>Oreochromis niloticus cancellatus</i>: Africa:  Lakes of the Ethiopian Rift Valley, Lake Beseka and the Awash system, but absent from Lake Turkana and Lake Tana.",NA,NA,2
Oreochromis niloticus,"<i>Oreochromis niloticus eduardianus</i>:  Africa:  Albert Nile; Lakes Albert, Edward, George, Kivu; River Ruzizi and Lake Tanganyika.  (Introduced into Lakes Victoria and Kyoga and many small lakes and dams in Uganda and Rwanda).",24,28,2
Oreochromis niloticus,"<i>Oreohromis niloticus tana</i>: Africa:  restricted to Lake Tana, Ethiopia.",NA,NA,2
Oreochromis niloticus,<i>Oreohromis niloticus vulcani</i>:  Africa:  Lake Rudolf (Turkana) and its affluent streams (except the Omo river ?); Crater lakes on Central Island.,NA,NA,2
Oreochromis macrochir,"Madagascar strain.  Introduced to Madagascar from Lubumbashi, Democratic Republic of the Congo in 1955.  Founder stock is unknown.",NA,NA,1396
Oreochromis macrochir,"Democratic Republic of the Congo strain.  Introduced to the Parc Heenan Reproduction Centre, Lubumbashi, Democratic Republic of the Congo from Lake Mweru in 1945.  Founding stock was 10 individuals.",NA,NA,1396
Oreochromis macrochir,"Africa:  Kafue, upper Zambezi, and Congo River systems; introduced elsewhere in Africa and in Hawaiian Islands Also in the Okavango and Ngami region, Cunene basin, Chambezi and Bangweulu region (Ref. 5166).",18,35,1396
Osteochilus vittatus,"Asia:  Mekong and Chao Phraya basins, Malay Peninsula, Sumatra, Java and Borneo (Ref. 27732).  Reported from Salween and Maeklong basins (Ref. 26336); China (Ref. 9671); and lower Myanmar (Ref. 4832).",22,26,277
Pagellus erythrinus,"Eastern Atlantic:  Norway and the Mediterranean to Guinea-Bissau (Ref. 26999), including Cape Verde, Madeira and the Canary Islands.  Rarely recorded in Scandinavia (Ref. 4781).",NA,NA,893
Pagellus bogaraveo,"Eastern Atlantic:  Norway, Strait of Gibraltar  to Cape Blanc in Mauritania, Madeira, Canary Islands, and  western Mediterranean (rare beyond the Sicilian Strait).  Reported from Iceland (Ref. 12462).",NA,NA,890
Pagellus bogaraveo,Azores (ICES subarea X),NA,NA,890
Pagellus bogaraveo,Northeast Atlantic,NA,NA,890
Pagellus bogaraveo,"Northeast Atlantic:  West of Scotland, Irish Sea, Celtic Sea, Channel, Bay of Biscay(ICES Subareas VI, VII, and
VIII)",NA,NA,890
Pagellus bogaraveo,West of the Iberian Peninsula (ICES Subarea IX),NA,NA,890
Pagrus auratus,"Indo-Pacific:  widely occurring off New Zealand, Australia, Philippines, Indonesia, China, Taiwan, and Japan.  Populations in the northern and southern hemispheres are independent and isolated but were similar enough to be declared one and the same species (Ref. 28569, 28591).",NA,NA,6426
Pagrus pagrus,"Eastern Atlantic:  Strait of Gibraltar to 15°N (rare southward 20°N), including Madeira and the Canary Islands; Mediterranean and northward to the British Isles.  Western Atlantic:  New York, USA and northern Gulf of Mexico to Argentina (Ref. 7251), including the continental coast of the Caribbean Sea (Ref. 9626).",NA,NA,1756
Pampus argenteus,"Indo-West Pacific:  Persian Gulf to Indonesia, north to Hokkaido, Japan.  Extralimital captures have been made from the Adriatic and off Hawaii.  Not recorded from Australasia.  Northeastern Atlantic: 3 reports of capture reported from this area (Ref. 86350).",NA,NA,491
Pangasianodon hypophthalmus,"Asia:  Mekong, Chao Phraya, and Maeklong basins.  Introduced into additional river basins for aquaculture.",22,26,14154
Parastromateus niger,Indo-West Pacific:  East Africa to southern Japan and Australia.,NA,NA,1947
Parona signata,Southwest Atlantic:  southern Brazil to southern Argentina.,NA,NA,386
Patagonotothen ramsayi,Southwest Atlantic:  restricted to the Patagonian shelf.,NA,NA,10308
Perca flavescens,"North America:  Atlantic, Arctic, Great Lakes, and Mississippi River basins from Nova Scotia and Quebec west to Great Slave Lake in Northwest Territories in Canada, and south to Ohio, Illinois and Nebraska in the USA; south in Atlantic drainages to Santee River in South Carolina, USA.",0,29.7000007629395,359
Perca fluviatilis,"Eurasia:  throughout Europe to northernmost extremity of Scandinavia, except Iberian Peninsula, central Italy, and Adriatic basin; Aegean Sea basin in Matriza and from Struma to Aliakmon drainages; Aral Sea basin; Siberia in rivers draining the Arctic Ocean eastward to Kolyma.  Widely introduced.  Several countries report adverse ecological impact after introduction.",10,22,358
Phycis blennoides,"Eastern Atlantic:  Norway and Iceland to Cape Blanc, West Africa; also the  Mediterranean.",NA,NA,1340
Phycis blennoides,Northeast Atlantic,NA,NA,1340
Phycis phycis,"Northeast Atlantic :  Bay of Biscay to Morocco, south to Cape Verde, and including off-lying islands.  Also in the Mediterranean and the Azores.",NA,NA,1747
Piaractus mesopotamicus,South America:  Paraguay-Paraná River basin.,NA,NA,55383
Pimelodus argenteus,South America:  Paraná River basin.,NA,NA,62851
Pimelodus maculatus,South America:  Paraná and São Francisco River basins.,20,24,23451
Pinirampus pirinampu,"South America:  Amazon, Essequibo, Orinoco, and Paraná basins.",22,28,8688
Platichthys flesus,"Eastern Atlantic:  coastal and brackish waters of western Europe and from the White Sea to the Mediterranean and the Black Sea (Ref. 4705, Ref. 51442).  Introduced into the USA and Canada accidentally through transport in ballast water (Ref. 1739).  Asia:  Iran (Ref. 39702).",5,25,1341
Platichthys flesus,Baltic Sea (ICES subdivisions 22-32),NA,NA,1341
Platichthys flesus,"North Sea, Sub-area IV.",NA,NA,1341
Platichthys flesus,Western Baltic.  ICES sub-divisions 24 and 25.,NA,NA,1341
Platichthys stellatus,"North Pacific:  Korea and southern Japan through the Bering Strait and Arctic Alaska (Ref. 2850) to the Coronation Gulf, Northwest Territories, Canada and Santa Barbara, southern California, USA.  Hybridizes with <i>Parophrys vetulus</i> - the hybrid, called <i>Inopsetta ischyra</i>, may be found from the Bering Sea to San Francisco, California, USA.  Also hybridizes with <i>Kareius bicoloratus</i> (Ref. 27547).",NA,NA,4249
Pleurogrammus monopterygius,"Northeast Pacific:  Yellow Sea Cape Navarin in the Bering Sea and from Stalemate Bank and Bowers Bank in the Aleutian Chain to Icy Bay, Alaska, and rarely to Redondo Beach, California, USA.",NA,NA,4037
Pleuronectes platessa,"Northern Sea.  Reports from the Mediterranean Sea appear to be misidentifications of 
<i>P. flesus</i>.  It may have been present in some areas of the Mediterranean in the past, as a result of climatic changes related to the ice age, but at present times seem to be absent (Ref. 89040).",2,15,1342
Pleuronectes platessa, Skagerrak Kattegat (ICES division IIIa),NA,NA,1342
Pleuronectes platessa,"Baltic Sea, sub-divisions 24-32.",NA,NA,1342
Pleuronectes platessa,"Kattegat, Belt and Sounds.",NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  Baltic Sea (ICES subdivisions 22-32).,NA,NA,1342
Pleuronectes platessa,"Northeast Atlantic:  Eastern Celtic Sea (ICES divisions VIIf, g).",NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  Eastern Channel (ICES division VIId).,NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  Irish Sea (ICES division VIIa).,NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  North Sea (ICES subarea IV).,NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  Western Channel (ICES division VIIe).,NA,NA,1342
Pleuronectes platessa,"Northeast Atlantic:  West of Ireland (ICES divisions VIIb, c)",NA,NA,1342
Pleuronectes platessa,Northeast Atlantic:  Western Celtic Sea (ICES divisions VIIh-k),NA,NA,1342
Parophrys vetulus,"Eastern Pacific:  Bering Sea to Bahia San Cristobal, central Baja California, Mexico (Ref. 27436).  Hybridizes with <i>Platichthys stellatus</i> - the hybrid, called <i>Inopsetta ischyra</i>, may be found from the Bering Sea to San Francisco, California, USA.",NA,NA,4248
Plotosus canius,"Indo-West Pacific:  west and south coasts of India and off Sri Lanka eastward along the coasts of Bangladesh and Myanmar, through the Indo-Australian Archipelago and the Philippines as far as Papua New Guinea.",NA,NA,8167
Pogonias cromis,"Western Atlantic:  Nova Scotia (Ref. 7251) to Florida, Gulf of Mexico, the Antilles (uncommon), and the southern Caribbean coast; also from the Orinoco delta to Argentina.",NA,NA,425
Pollachius pollachius,"Northeast Atlantic: Iceland, the Faeroes  and Norway to the Bay of Biscay (Ref. 1371); also southern Baltic Sea (Ref. 89342) with records from Poland, Latvia and Estonia (Refs. 36252, 52079).",NA,NA,34
Pollachius virens,"Eastern Atlantic:  Barents Sea, Spitsbergen to Bay of Biscay, around Iceland.  Western Atlantic:  southwest Greenland, Hudson Strait to North Carolina, although rare at the extremes of the range.  Migrations for spawning are known to occur.  Also long-distance north-south migrations for Europe and the US.",NA,NA,1343
Pollachius virens,Northeast Atlantic:  Faroe Island (ICES Division Vb).,NA,NA,1343
Pollachius virens,Northeast Atlantic:  Iceland (ICES division Va).,NA,NA,1343
Pollachius virens,Northeast Atlantic:  North East Arctic - Barents Sea and Norwegian Sea (ICES subareas I and II).,NA,NA,1343
Pollachius virens,"Northeast Atlantic:  North Sea, Skagerrak, West of Scotland and Rockall (ICES subarea IV, division IIIa and subarea VI).",NA,NA,1343
Polyprion oxygeneios,"Circumglobal in southern waters:  (Ref. 7300):  South Africa,  Australia, New Zealand, Kermadec I., Desventuradas Is., Juan Fernandez Is., Chile, north to southern Brazil,Tristan da Cunha.",NA,NA,350
Pomatomus saltatrix,"Circumglobal:  In tropical to subtropical waters;  except the eastern Pacific (Ref. 33390).  Eastern Atlantic:  Portugal to South Africa, including the Mediterranean and Black Sea, Madeira, and the Canary Islands.  Western Atlantic:  Canada and Bermuda to Argentina (Ref. 7251).  Indian Ocean:  along the coast of East Africa, Madagascar, southern Oman, southwest India, the Malay Peninsula, and Western Australia (Ref. 11441).  Southwest Pacific:  Australia except the Northern Territory, and New Zealand (Ref. 11441).  Absent from eastern Pacific and northwest Pacific.  Barely entering the  Western Central Pacific region.  Records from the Northern Territory, Australia and from Indonesia appear to be erroneous (Ref. 9860).  Occurrence in Taiwan (Ref. 5193) and Hawaii (Ref. 4517) need verification.",NA,NA,364
Pomoxis nigromaculatus,"North America:  widely introduced throughout USA that native range is difficult to determine; presumably Atlantic Slope from Virginia to Florida, Gulf Slope west to Texas in the USA, St. Lawrence-Great Lakes and Mississippi River basins from Quebec to Manitoba in Canada south to Gulf of Mexico.",NA,30.6000003814697,3388
Prochilodus reticulatus,South America:  Lake Maracaibo basin (Ref. 37057).  Reported from Argentina (Ref. 9086).,NA,NA,5491
